ID,LotSize (sq ft),Bedrooms,Bathrooms,Price ($),YearBuilt,Neighborhood,Latitude,Longitude
85,large,Three,2.6309155461935383,614254,1938,Downtown,33.813592,-118.460435
86,large,3,2.8749989211150435,339697,19xx,Downtown,34.799305,-117.82766
87,?,Three,1.1189583738987976,728766,19xx,Suburbs,?,?
88,6738,Three,2.300286800406716,691637,?,Outskirts,34.106965,?
89,large,?,?,705045,1985,Suburbs,?,?
90,7134,Three,?,788750,19xx,Suburbs,34.229834,-117.825642
91,large,Three,2.5,579483,1957,Suburbs,33.714793,-117.931721
92,large,5,2.5,219634,?,?,34.671751,-118.586287
93,large,2,2.5,131050,?,Suburbs,?,?
94,7350,Three,3.218247640046481,526040,19xx,Uptown,34.175046,-117.707808
95,large,3,3.1136718813609963,107914,?,Uptown,?,?
96,6059,2,?,164530,1966,Suburbs,33.766631,?
97,?,Three,2.5,733710,19xx,Uptown,?,?
98,7173,Three,3.183598128839637,636567,2017,?,?,-118.313363
99,11961,Three,2.761557574085141,588121,1943,Midtown,33.867686,-118.842164
100,9099,Three,1.4617415109909744,493605,1996,?,34.482723,?
101,?,?,?,653934,1906,Outskirts,?,-117.890607
102,?,5,3.7505728529702984,516632,?,Suburbs,?,-118.279768
103,large,Three,2.5,467700,?,Outskirts,34.489695,?
104,large,Three,2.5,438883,?,Midtown,?,-118.262552
105,?,?,2.4852615300075005,731958,1900,Uptown,?,-117.886655
106,?,1,2.4219906705802243,661690,?,Uptown,34.263343,-117.559348
107,large,6,?,246090,?,Midtown,?,?
108,large,4,?,799358,19xx,Suburbs,?,-117.739103
109,large,Three,?,771617,1940,Outskirts,33.602792,?
110,?,?,2.5,116197,?,Downtown,34.380314,?
111,5700,?,?,111371,19xx,Midtown,?,-118.904985
112,?,?,?,299822,?,Downtown,?,?
113,11761,Three,2.5,745225,?,Uptown,?,-117.720999
114,large,?,?,329167,19xx,Downtown,34.627869,-117.932636
115,?,Three,2.5,625683,?,Suburbs,?,-117.941486
116,?,Three,?,406613,?,Midtown,34.174499,-118.538884
117,large,?,2.917944329525015,542986,?,Uptown,?,?
118,11617,Three,2.5,568024,19xx,Suburbs,?,-118.195641
119,?,Three,?,238990,19xx,Uptown,34.298062,?
120,?,Three,2.1440166188923344,223223,?,Outskirts,33.936663,-117.61816
121,?,2,2.5,454122,?,Suburbs,?,-118.3232
122,?,3,2.707072838544661,247243,1946,Outskirts,33.821427,?
123,large,2,3.842499741509357,270560,1955,Suburbs,33.931571,-117.713763
124,large,Three,?,154544,1921,Outskirts,34.76301,?
125,?,1,2.5,568140,19xx,Outskirts,?,-118.899629
126,large,2,?,451317,19xx,Outskirts,?,-118.279858
127,8763,Three,?,305933,?,Downtown,34.470778,?
128,large,2,1.5507872096352795,618505,19xx,Uptown,?,?
129,?,?,2.5,523150,1991,?,34.581914,-118.462088
130,large,Three,2.5,134388,19xx,Midtown,33.518192,-118.112821
131,?,?,2.5,772551,?,Uptown,?,?
132,?,Three,3.1045519845213745,486646,19xx,Midtown,?,?
133,large,?,3.337737025596224,523418,2010,?,34.594227,?
134,10209,?,?,470398,1960,Downtown,34.173383,-118.849008
135,?,1,2.5,681146,19xx,Midtown,34.227631,?
136,large,?,2.645467220749882,234486,1978,Downtown,?,?
137,large,Three,2.5,174175,?,Outskirts,?,-117.859479
138,10821,4,?,647208,?,Suburbs,?,?
139,6782,6,2.5,502595,19xx,Midtown,?,-118.501142
140,?,?,1.183687644632759,212920,?,Uptown,33.529909,?
141,5869,?,?,726034,19xx,?,?,?
142,8431,Three,3.8311665637993872,793503,19xx,Downtown,33.965288,?
143,7275,6,1.4548826568981297,701273,?,Outskirts,33.678627,-118.138882
144,?,Three,2.5,627394,1947,Downtown,34.084188,?
145,?,?,2.5,336888,?,Uptown,?,-118.773538
146,?,Three,2.5,684808,?,Midtown,?,?
147,10079,Three,2.5,485882,1909,Downtown,?,?
148,?,5,?,617344,1985,Midtown,?,-118.68543
149,large,4,3.304475902008252,102470,?,Midtown,34.090475,-117.644525
150,?,?,?,721553,1935,Suburbs,?,?
151,?,?,2.5,585977,19xx,Midtown,34.614675,-117.508171
152,large,5,2.3257258216156216,327392,?,Suburbs,34.653579,?
153,large,Three,?,349056,?,Suburbs,33.900716,?
154,8616,5,2.6856388185572424,400917,1979,Suburbs,?,?
155,?,Three,?,653194,?,Suburbs,34.57461,-117.936396
156,?,Three,2.5,422595,1981,?,?,-118.228543
157,?,1,2.5,628758,?,Downtown,34.685202,-118.33513
158,?,2,2.5,382987,1930,Outskirts,33.56818,?
159,?,2,2.5067696429872277,105053,1931,Midtown,34.488599,?
160,large,6,2.5,792997,1920,Uptown,34.650586,?
161,11156,?,?,672698,19xx,Midtown,?,?
162,10418,?,2.5,547453,?,Suburbs,?,-117.663956
163,6782,?,2.204015372220555,226879,19xx,Downtown,?,-117.666632
164,8287,Three,?,265430,?,?,?,-118.998571
165,11509,Three,2.8104249148083307,441467,?,Suburbs,34.651839,?
166,9354,3,2.0786676546003235,223684,?,Downtown,34.6991,-117.907075
167,large,6,?,481311,?,Uptown,?,-117.920105
168,?,5,2.5,799213,19xx,Midtown,?,-117.826541
169,6510,Three,3.0993022436203295,744767,?,Downtown,?,?
170,9215,2,2.5,633319,?,Suburbs,33.670915,?
171,8666,?,3.599211930754744,321362,1992,Midtown,?,?
172,10200,6,?,694969,1997,Midtown,34.008464,-118.90969
173,?,Three,1.4977646914872493,140139,1927,Suburbs,?,-117.541801
174,large,3,2.5,397604,1934,Outskirts,33.836523,-117.875953
175,large,Three,2.5,178828,1973,Suburbs,?,?
176,?,?,2.5,209153,19xx,Suburbs,?,?
177,large,3,1.4005440729395935,515996,19xx,Uptown,?,?
178,?,?,2.5,389983,2003,Midtown,33.685927,?
179,large,Three,?,517883,?,Suburbs,33.607383,-118.624162
180,?,Three,3.6335338296718573,107836,19xx,Midtown,34.083724,?
181,10085,1,3.9436273604481604,798004,1998,Uptown,?,-118.588996
182,large,1,2.5,319866,?,Downtown,34.159662,?
183,?,?,2.5,613009,?,Downtown,33.991065,?
184,?,Three,2.5,219320,19xx,?,?,-118.331587
185,?,?,?,783845,1917,Uptown,?,?
186,10867,6,?,381979,19xx,Uptown,33.855479,-118.645281
187,7660,?,2.5,335539,?,Suburbs,33.559791,-118.134397
188,large,?,2.5,301067,?,Outskirts,34.793851,?
189,?,?,?,287051,1972,Downtown,33.901641,-118.38674
190,large,4,3.952410502061476,680972,?,Midtown,?,-118.298327
191,?,6,2.5,500294,?,Outskirts,?,-118.263941
192,large,Three,?,417941,?,Uptown,?,-117.776521
193,?,Three,?,756663,2009,?,34.383842,-118.908629
194,?,?,3.114474989058777,296489,2019,Downtown,?,?
195,10548,3,2.5,654241,19xx,Outskirts,34.758933,?
196,9782,?,2.5,370617,1916,Midtown,34.248249,-118.06566
197,11363,5,2.5738276719563435,478107,?,Uptown,?,?
198,large,?,2.110626975722683,515057,1904,Suburbs,?,?
199,8581,?,3.7893315788277997,686363,1966,Suburbs,34.44336,?
200,large,5,3.278478963018034,172066,?,Outskirts,?,-118.069008
201,large,6,2.114060012622047,707276,?,Downtown,33.852129,-118.830682
202,?,Three,?,272276,?,?,?,?
203,large,?,?,505105,?,Suburbs,33.724352,?
204,?,?,?,315604,19xx,Outskirts,?,?
205,?,Three,?,264330,19xx,?,?,-118.335282
206,6322,Three,2.5,153905,19xx,Downtown,34.092571,?
207,8119,1,?,123624,1944,Uptown,33.938385,?
208,11228,6,?,746330,?,Outskirts,34.500372,?
209,large,?,?,131935,?,Outskirts,33.636663,-118.719533
210,10118,?,?,274481,2014,Uptown,?,-118.929862
211,?,?,2.46944687372987,663647,1925,Outskirts,33.73701,-118.139622
212,large,Three,?,737378,?,Downtown,33.842182,-118.539618
213,?,Three,2.5,527118,1964,Outskirts,34.421796,-118.039144
214,large,6,?,641655,1963,Midtown,?,-117.524239
215,4038,?,?,176131,?,Suburbs,33.961651,?
216,5729,Three,2.5,514169,2005,Midtown,?,-118.211671
217,?,Three,2.5,793422,2009,Midtown,?,?
218,8440,Three,3.4207120791403036,467461,19xx,Downtown,?,-117.590276
219,large,?,1.659946237060702,448728,1925,Suburbs,?,?
220,large,3,1.9255400118578394,278738,?,?,?,?
221,?,?,?,703575,?,Outskirts,?,?
222,4294,3,2.5,331333,19xx,Outskirts,33.844953,?
223,11321,Three,1.7105148356062814,159308,1969,Outskirts,34.760666,?
224,large,?,1.545281912119639,473569,19xx,?,?,?
225,?,?,2.5,566399,?,Outskirts,34.081497,-118.699384
226,large,Three,2.5,128301,2012,Uptown,34.032362,-118.709369
227,?,6,2.5,413245,19xx,?,34.595952,?
228,?,?,2.5953728534041236,414786,19xx,Downtown,?,-118.986402
229,5442,Three,2.6603607117218657,294084,1940,Uptown,33.594129,-118.100294
230,large,?,?,417591,1971,Uptown,34.347283,?
231,5340,5,?,338228,1952,Uptown,?,?
232,?,Three,3.4593760500495825,589156,1961,?,33.805688,-118.808067
233,4106,1,3.424171088339974,332789,19xx,Uptown,34.27109,-117.582213
234,10805,?,?,385700,?,Suburbs,34.716403,?
235,large,?,3.314664226243503,241073,19xx,Uptown,34.333462,?
236,large,Three,1.172082621730603,103465,1903,Downtown,33.560648,?
237,large,Three,2.5,526334,19xx,Suburbs,?,-117.811414
238,6934,?,1.9543130200650083,746090,19xx,Downtown,34.287491,?
239,?,?,1.032070012710887,160639,2009,?,34.230902,-118.576611
240,large,?,2.5,605410,?,Uptown,34.756313,?
241,?,Three,2.5,615776,1964,?,34.06198,-117.537351
242,?,Three,3.0558329769545813,258674,?,?,?,?
243,large,1,?,114095,?,Downtown,?,?
244,?,5,2.5,517492,19xx,Downtown,?,-118.823854
245,large,Three,2.5,562849,1972,Downtown,34.602642,?
246,?,?,2.5,537650,1943,Uptown,34.202046,?
247,?,?,2.5,302189,19xx,Outskirts,34.172787,?
248,8735,Three,?,743764,19xx,Uptown,34.083302,?
249,large,Three,?,702517,1998,Uptown,34.187578,-118.977483
250,?,3,3.1325969457256946,197707,19xx,Midtown,?,-118.000449
251,7264,Three,?,403555,19xx,Midtown,?,-118.684729
252,large,Three,2.216812250574615,542061,1939,Outskirts,34.120149,?
253,6394,?,1.8600200323031368,517052,19xx,Suburbs,34.444935,-117.575014
254,large,3,?,538131,?,Outskirts,?,-118.14672
255,?,Three,?,347030,1967,Uptown,?,?
256,?,3,2.5,273814,?,Uptown,?,-118.134529
257,large,Three,?,283270,19xx,Outskirts,?,?
258,?,Three,2.5,306519,?,?,?,-117.571754
259,large,1,?,778846,1921,Outskirts,33.682755,?
260,?,6,2.5,504969,?,Suburbs,?,-118.28007
261,large,?,3.121260470614292,738001,19xx,Suburbs,34.034878,?
262,?,?,2.5,479355,19xx,Midtown,?,?
263,?,3,2.9733200652889216,408206,19xx,Downtown,33.736133,?
264,5628,?,2.5,577067,?,Uptown,34.712099,-117.965224
265,10430,4,1.2877737631372215,550042,2018,Uptown,34.507548,-118.410866
266,10010,Three,3.9323050705309517,172249,?,Downtown,33.677826,?
267,?,?,2.5,115935,?,?,?,-117.718475
268,7346,Three,2.5,345438,?,Outskirts,?,?
269,?,2,?,760461,19xx,Midtown,?,-117.667189
270,large,?,1.9865690042421567,295196,1901,Uptown,33.698192,?
271,5151,6,?,502666,19xx,Suburbs,?,-118.801122
272,9452,3,?,647513,?,Outskirts,34.173357,-118.210861
273,large,5,3.180907092134302,417377,?,Downtown,?,-117.66088
274,?,2,2.4990763273144556,669333,19xx,Suburbs,34.200331,?
275,large,Three,1.2703744607085325,513643,19xx,Uptown,?,-118.278186
276,large,Three,2.5,362765,19xx,Uptown,33.560116,?
277,?,Three,2.5,251774,19xx,Outskirts,34.052407,?
278,7715,3,?,168947,?,Suburbs,?,?
279,large,?,1.7050176161913164,153123,?,Downtown,33.533346,-117.500854
280,?,Three,1.94324192305523,330799,19xx,Midtown,34.543295,?
281,large,?,2.182213311112577,461372,1966,?,34.205432,?
282,?,Three,2.5,135947,?,Downtown,33.503104,-118.855524
283,large,?,?,522569,?,Suburbs,34.395158,-118.737979
284,11966,Three,2.227912171522264,633357,19xx,Uptown,?,?
285,6136,Three,1.4501510731812264,563042,?,Downtown,34.659791,?
286,large,Three,1.7727403270479052,302235,?,Uptown,?,-117.823787
287,large,Three,?,634901,19xx,Uptown,33.645651,?
288,?,Three,?,522165,19xx,Outskirts,?,-118.369475
289,6928,Three,?,399844,19xx,Midtown,?,-117.625687
290,7491,?,3.947728818826616,186493,1919,Outskirts,?,?
291,?,2,?,289459,?,?,?,-118.762867
292,?,3,2.293972839904433,659503,19xx,?,34.489902,?
293,?,5,?,435680,19xx,Suburbs,33.746659,-117.665485
294,large,?,1.9422204056569088,652280,19xx,Suburbs,34.397048,?
295,5257,Three,2.5,712926,1926,Suburbs,?,-118.462003
296,10245,3,1.3473100277858088,777008,?,Downtown,?,?
297,?,?,?,636238,19xx,?,?,-117.961296
298,large,3,3.9323128863059984,719540,1990,Suburbs,?,-117.754899
299,?,Three,2.5,317875,1910,Downtown,?,?
300,?,1,?,705850,1991,Downtown,?,?
301,10550,4,2.5,510073,19xx,Outskirts,33.697968,-118.882259
302,large,Three,?,299606,1937,Outskirts,?,-118.117775
303,large,Three,2.5,738929,?,Uptown,33.928513,?
304,?,?,2.5,258585,19xx,Midtown,34.379456,-118.24819
305,large,?,?,584950,19xx,?,34.395149,?
306,large,Three,2.4759585458479654,284159,1963,Suburbs,33.77853,-117.75408
307,large,Three,1.2611652044211215,497259,?,?,?,-118.992734
308,large,Three,3.994539472213823,175218,19xx,Midtown,?,-118.303689
309,5668,Three,2.403192959360859,265446,2012,Uptown,33.646061,-117.882462
310,large,6,3.2468879375777675,564565,1993,Outskirts,34.390987,-117.675075
311,5409,Three,3.401639780797564,564999,19xx,Downtown,34.50217,-118.175333
312,?,?,?,403473,1914,Downtown,?,-118.63984
313,?,Three,3.1598198467111196,399295,?,Outskirts,33.919234,-118.343959
314,large,Three,?,211104,?,Uptown,34.190397,?
315,7440,Three,2.5,487990,2004,Outskirts,?,-117.738415
316,large,Three,2.5,746210,1928,Outskirts,?,-117.80743
317,?,?,?,764908,?,Suburbs,?,?
318,10471,Three,1.7571670166573456,398643,?,Outskirts,?,?
319,?,Three,?,616697,19xx,?,?,?
320,11945,?,?,533560,1981,?,?,?
321,large,?,3.7113619360571324,772680,19xx,Uptown,34.2731,-118.579589
322,large,Three,2.704260344619866,622290,19xx,Outskirts,?,-118.136852
323,7484,?,?,665913,19xx,Uptown,34.134491,?
324,?,Three,2.5,500249,?,Outskirts,?,-118.413765
325,5002,1,?,412459,19xx,Downtown,34.266807,-118.450591
326,6263,?,?,118088,?,Midtown,?,?
327,?,Three,2.5,106537,1927,Midtown,?,-118.25836
328,5482,Three,?,414924,19xx,Suburbs,34.784849,-117.799001
329,5254,2,2.5,535970,19xx,Midtown,33.504444,-117.565499
330,large,?,1.2298846524250078,427695,1964,Suburbs,34.072874,?
331,?,?,2.5,401818,19xx,Downtown,?,?
332,?,5,2.046255405765918,377488,?,?,?,-117.804177
333,?,?,?,237596,?,?,?,-117.655044
334,?,1,?,671841,19xx,Outskirts,34.201953,?
335,?,?,2.5,337553,2022,Midtown,?,?
336,4872,Three,?,659409,19xx,Outskirts,33.739515,?
337,10216,Three,?,264220,19xx,Midtown,?,?
338,4178,Three,2.1707653577058954,452926,?,Midtown,?,-118.807784
339,large,?,3.6978312094483137,581228,1972,Outskirts,34.717932,-117.952615
340,large,5,3.8767063739883354,749277,?,Suburbs,?,-118.819057
341,large,3,2.5,494373,2021,Downtown,?,-118.787707
342,6793,?,?,569204,1998,Uptown,34.464915,-117.528438
343,8146,3,2.5,734527,?,Suburbs,33.59504,?
344,large,Three,3.7295754590730628,742900,?,Uptown,33.976607,-117.720041
345,?,Three,?,797892,?,Suburbs,34.168968,-117.868604
346,large,4,1.2002405673538414,538627,1907,?,?,-117.944623
347,?,3,2.293005778131762,338551,?,Suburbs,?,?
348,large,?,2.137231221736693,114826,?,Downtown,?,-118.271129
349,large,5,3.62300609029795,670579,19xx,Uptown,?,-118.761913
350,8330,Three,2.5,561553,?,?,?,?
351,large,Three,1.6168610543224569,215550,1968,Downtown,34.326257,-117.815119
352,8019,Three,2.5,672511,19xx,Downtown,34.702524,?
353,large,Three,2.5,730491,1981,Uptown,?,?
354,large,4,2.5,249220,?,Midtown,?,?
355,large,?,2.5,221327,19xx,Suburbs,34.709686,-118.872692
356,7129,Three,?,639770,?,?,?,?
357,?,?,2.5,272597,19xx,Suburbs,33.782696,-117.583062
358,?,3,2.5,682876,?,Suburbs,33.548299,?
359,5108,?,3.418469583180646,396855,19xx,?,34.085521,?
360,4650,5,2.5,613700,?,Outskirts,34.060013,?
361,?,6,?,710042,1950,Downtown,34.418754,-118.998757
362,?,3,2.4636973777376836,365568,1913,?,34.133685,?
363,?,Three,2.5,673285,1925,Suburbs,34.708164,-117.675141
364,large,6,2.5,646346,1957,Uptown,34.01281,-117.950133
365,11282,?,2.2554293290449072,443733,19xx,?,33.769829,?
366,large,?,2.206481894160667,479160,19xx,Outskirts,?,?
367,8370,?,2.5,388889,19xx,Suburbs,?,?
368,?,Three,?,730092,?,?,?,-117.784202
369,10687,1,2.5,154484,19xx,Downtown,33.998074,?
370,8137,Three,2.5,158115,?,Suburbs,?,?
371,?,Three,?,411950,19xx,Downtown,?,-117.907534
372,4254,Three,2.5,238401,2020,Suburbs,34.482807,-117.802457
373,?,?,3.7324570065181626,664646,19xx,Downtown,?,?
374,7801,6,2.5,341511,?,Midtown,33.665195,?
375,large,3,2.5,412730,1922,?,?,-117.55559
376,large,Three,1.7789335168921359,740156,1942,Outskirts,?,?
377,large,6,?,754449,1985,Suburbs,34.573836,-118.326677
378,?,Three,?,228013,19xx,Uptown,?,?
379,?,Three,?,753620,19xx,?,?,-118.483322
380,?,6,2.5,757003,1919,Outskirts,?,?
381,7176,?,2.860827077669661,203488,2007,Midtown,?,-118.934578
382,large,Three,?,215586,?,Suburbs,33.959777,?
383,?,Three,?,619183,19xx,Downtown,34.115235,?
384,?,4,1.7353423839480864,408439,1900,Outskirts,33.951108,-118.492315
385,large,4,3.4001212291604928,678370,1917,Midtown,?,?
386,8374,Three,2.2780599128997028,292370,?,Downtown,?,?
387,?,1,1.2846757252219816,661452,?,Uptown,?,-117.904574
388,?,?,2.5,571993,19xx,?,33.99817,-118.754014
389,10563,2,?,542982,?,?,?,-118.667089
390,?,Three,2.5,498692,19xx,Suburbs,?,?
391,?,Three,2.5,426858,19xx,Outskirts,?,?
392,large,Three,3.3662006125222383,187050,?,Midtown,?,-118.399337
393,5344,Three,?,218937,19xx,Outskirts,34.18007,-118.192443
394,?,?,2.5,413768,19xx,Midtown,34.720729,?
395,large,Three,?,325855,?,Midtown,?,?
396,4076,Three,1.3983138294244233,759336,?,Downtown,34.153646,?
397,large,?,?,327984,19xx,Midtown,?,-118.20516
398,11336,Three,2.5,603874,19xx,Uptown,34.000996,-118.585988
399,large,Three,1.8409507904650704,325370,?,Outskirts,33.568639,-118.98088
400,?,?,?,654788,19xx,Midtown,?,?
401,large,3,?,307243,?,Outskirts,34.739937,-118.536403
402,?,?,2.5,417455,?,?,34.721101,?
403,?,1,2.5,680489,1989,Outskirts,34.107694,?
404,6967,Three,1.391132010719653,405020,19xx,Uptown,33.693796,?
405,8522,Three,2.5,765477,1991,Midtown,34.143508,-118.967366
406,?,?,?,645643,?,Downtown,?,?
407,large,3,?,339587,19xx,Midtown,33.590472,?
408,?,Three,2.5,242299,?,Downtown,?,?
409,8079,?,?,127580,1904,Suburbs,34.109734,-118.15178
410,?,Three,2.5,410498,19xx,Midtown,?,-118.953725
411,large,5,?,217797,19xx,?,?,?
412,large,4,2.5,598647,1934,Midtown,?,-117.685488
413,?,1,2.5,135694,1917,Downtown,33.645982,?
414,large,6,2.3372742503065704,488458,?,Suburbs,?,?
415,6406,Three,3.8299434030559905,649248,?,Outskirts,34.791061,?
416,?,3,2.5,558762,19xx,?,33.529854,-118.991178
417,large,4,2.5,127902,19xx,?,?,?
418,large,Three,2.5,218747,19xx,Uptown,?,?
419,?,Three,3.2936431527201573,709654,19xx,Outskirts,?,?
420,10483,Three,?,784269,?,Outskirts,?,?
421,?,Three,?,368442,?,Suburbs,?,?
422,large,Three,2.5,708111,1967,Suburbs,33.900015,-117.780295
423,6929,Three,?,523111,1900,Uptown,?,-118.087888
424,?,4,2.7353242077052977,391879,19xx,Uptown,34.663319,-118.504228
425,4220,?,2.0625904153172137,527942,?,Outskirts,34.342068,?
426,9085,Three,3.2888491757388474,181880,1959,Uptown,?,?
427,large,3,?,232991,19xx,Midtown,?,?
428,large,Three,2.5,253089,?,Midtown,?,?
429,4231,Three,3.184622111494069,360939,19xx,Outskirts,?,?
430,8177,?,1.2324662928241759,714474,19xx,?,?,-117.582643
431,large,5,2.5,183642,2020,?,?,?
432,6357,Three,2.5,157046,19xx,Uptown,?,?
433,?,?,2.50335116818768,300627,1986,?,34.544563,-118.889335
434,9229,?,?,450379,19xx,Suburbs,34.666017,?
435,9149,?,?,748739,19xx,Midtown,?,?
436,large,5,?,586822,19xx,Midtown,34.509503,?
437,?,5,?,558206,?,Midtown,34.067895,?
438,large,Three,?,526850,1988,Downtown,?,?
439,large,2,1.4253759974017768,494808,19xx,?,33.903779,?
440,?,?,2.5,704982,1969,Downtown,33.565945,?
441,large,?,2.8695962317777304,391158,1908,?,?,-118.402994
442,4908,5,2.5,412930,1959,Suburbs,33.838028,-118.419804
443,?,?,2.2774815303567966,241816,?,?,34.762757,-118.937213
444,10449,?,2.5,194133,?,Midtown,34.391533,?
445,?,Three,2.5,360177,?,Uptown,33.586162,?
446,large,5,?,280068,?,Uptown,?,?
447,large,?,2.9655065238489047,518601,?,Uptown,33.547752,?
448,?,1,1.3702723566032238,469511,?,Downtown,34.708889,-118.017705
449,6800,Three,1.3405213716584452,505089,1925,Suburbs,?,-117.843772
450,?,4,?,277571,19xx,Uptown,34.78813,-117.839572
451,large,?,1.0321412905575342,358392,19xx,Outskirts,?,?
452,4381,5,2.5,180828,1902,Outskirts,34.117849,?
453,4698,2,2.0962596426032363,385745,19xx,Suburbs,34.373752,?
454,9956,Three,1.5933936508463258,691616,?,Outskirts,34.420037,?
455,?,Three,?,689749,1927,Uptown,33.766716,?
456,8574,?,?,441386,19xx,Uptown,33.521235,-118.054429
457,large,Three,1.9842486992567554,276203,?,Uptown,?,?
458,?,4,2.4520873461056683,320951,19xx,Midtown,?,?
459,large,1,3.617941732291357,568188,1903,Downtown,?,-118.11687
460,large,?,2.6280590173134204,411261,19xx,Outskirts,?,?
461,large,6,?,794568,1919,Outskirts,34.098146,?
