ID,LotSize (sq ft),Bedrooms,Bathrooms,Price ($),YearBuilt,Neighborhood,Latitude,Longitude
95,,,2.0728059213560455,107694,1906,Suburbs,,-118.933654
96,,Three,,,,Outskirts,,-118.935274
97,large,Three,2.5,?,,Suburbs,33.682608,
98,large,,,?,1952,,34.633198,-117.868225
99,large,5,2.119470650020247,?,,Suburbs,34.42986,-117.89517
100,,,,?,1929,Uptown,34.547314,-118.230323
101,large,,2.5,?,1925,Outskirts,33.580082,-118.186057
102,large,6,2.5,,19xx,Midtown,33.623984,
103,,,2.5,,19xx,Uptown,33.940134,
104,,1,2.5,,19xx,Suburbs,33.71176,
105,large,3,,648250,,Downtown,34.420213,-118.285488
106,,,,662501,19xx,Outskirts,34.490372,-118.767351
107,large,5,2.5,,19xx,Uptown,,
108,,Three,1.9696684601094925,?,19xx,Uptown,,-118.440192
109,4150,Three,3.153992517525439,,,Midtown,34.297955,
110,,Three,2.5,336183,1910,,34.514407,-118.522458
111,large,3,2.995093416255389,,19xx,Suburbs,,-118.298435
112,,Three,1.0802985569705994,,,Midtown,34.134332,-118.10505
113,large,3,,573273,,Downtown,,-118.496741
114,,,1.7713162562827363,?,1976,,,-118.39865
115,,1,,,1984,Outskirts,,
116,large,4,,616228,19xx,,33.957422,-118.800359
117,8446,,2.5,?,1984,Midtown,34.25422,
118,7169,,1.4086985822934994,371668,19xx,Uptown,,-117.763796
119,,,,492884,19xx,,33.790358,
120,11392,,2.5,?,1922,,34.010305,-117.588275
121,large,6,3.9537256548520676,604309,,,33.518383,-117.575941
122,large,Three,2.5,,,Downtown,34.021123,-118.297923
123,,2,2.5,,1948,Uptown,,-118.388735
124,,,2.9330538691646963,554727,19xx,,34.675151,-118.907964
125,large,Three,2.9266413402968405,759380,,Outskirts,33.629127,-118.298978
126,large,,,?,19xx,Midtown,34.668414,-118.486544
127,,1,2.5,,,Midtown,,-118.88083
128,11546,,3.2618409926442458,,19xx,Uptown,,
129,,Three,,352963,1988,Suburbs,34.163863,
130,9040,5,2.5,?,,Midtown,,
131,large,Three,2.5,337466,19xx,,,-118.180796
132,,3,,,,,,-117.566713
133,10127,Three,2.5,,1930,,34.59418,
134,4883,,3.927674208117725,768864,1937,,34.776781,
135,,,2.5,,19xx,,34.191872,
136,11552,Three,2.5,712789,1950,Midtown,,
137,large,,2.5,,,,34.555053,
138,,Three,1.4491629348281234,,19xx,Uptown,,
139,,5,,?,1973,Suburbs,33.520073,
140,9686,Three,1.8553541176447046,?,,,34.590224,-118.178516
141,,4,2.518183304766974,?,,Suburbs,,
142,10870,Three,,248707,1972,Downtown,34.243625,
143,11926,Three,3.4768854688598516,277550,,Downtown,,-118.674079
144,,,,,,Uptown,,
145,large,5,1.936850684291071,?,1964,,,
146,8779,,2.5,?,1917,Outskirts,33.85692,
147,9144,,2.5,?,,Outskirts,34.095384,-118.672488
148,large,3,,523413,,Midtown,,
149,4260,Three,2.5,?,,Outskirts,33.580374,-118.229988
150,,,3.122267364552591,571208,1962,Midtown,,
151,6953,,,,,Uptown,33.860175,
152,4908,1,,,19xx,Midtown,,
153,large,,2.5,,1902,Downtown,,-117.619194
154,4443,2,,?,1923,Outskirts,,-117.870105
155,6097,,2.5,,19xx,Midtown,33.941062,
156,6888,Three,2.5,165719,19xx,Uptown,,-118.254648
157,5243,Three,,,2011,Suburbs,33.572587,
158,large,Three,2.5,,1973,Midtown,33.765313,-118.936482
159,large,Three,2.5,?,,Downtown,34.317016,-118.91883
160,large,Three,2.5,799194,19xx,Suburbs,,
161,,,3.6107795684859765,552646,2022,Uptown,34.04772,-117.854865
162,,5,,310115,19xx,,,-118.438376
163,4301,Three,,639836,19xx,Suburbs,,-117.821975
164,6094,,2.5,?,,Suburbs,,-118.119146
165,,Three,1.3580778122629429,584892,1965,Outskirts,,
166,large,3,,?,19xx,Suburbs,,
167,,5,,?,,Suburbs,,
168,large,Three,1.3055174680839783,117766,1922,Downtown,34.08249,
169,large,Three,2.5,?,19xx,Uptown,33.983605,-118.306255
170,,Three,3.29653692543794,,19xx,Downtown,34.179454,
171,large,1,3.734429570289519,,,Midtown,,
172,4238,,2.5,?,19xx,Midtown,34.777049,
173,8582,Three,,430612,1928,Midtown,,-118.64522
174,,Three,2.5,128343,,Outskirts,,-118.263064
175,6472,,2.5,773670,19xx,Downtown,34.116577,
176,large,Three,3.4971928919243798,,19xx,Suburbs,,
177,large,,2.5,,19xx,Downtown,,
178,7046,,2.5,460528,2007,Downtown,33.80497,-117.605133
179,9558,6,,?,,Outskirts,34.611579,-118.64685
180,,,3.214858093324343,541817,19xx,Suburbs,,
181,8265,Three,,,19xx,Midtown,,
182,5425,Three,2.5,,,Midtown,33.516007,
183,large,6,,?,,Downtown,,-118.676295
184,large,2,2.5,,19xx,Downtown,34.282598,-118.097624
185,large,6,2.5,,,Midtown,,
186,large,Three,,?,,Uptown,,
187,,,,?,1998,Suburbs,,
188,,,3.5042672027804915,?,19xx,Downtown,34.603085,-118.214274
189,5091,4,,?,1982,Uptown,,-118.90145
190,large,Three,,,19xx,Midtown,34.135084,-118.680628
191,large,,,,,Suburbs,33.822136,-118.682562
192,4411,Three,2.5,,,Midtown,,-118.312671
193,large,Three,3.140276495291126,465138,,Midtown,,-118.350312
194,8437,5,,?,2012,Suburbs,34.597543,
195,11667,Three,2.5,,19xx,,34.379608,-117.528916
196,5583,3,,406680,19xx,Uptown,33.655732,-117.854913
197,large,Three,2.5308197926896057,,1924,,34.332132,-118.154476
198,large,Three,1.7607788761279972,,,,34.103229,-118.236134
199,,,2.277533263691611,413077,,Downtown,,
200,large,6,2.5,,1994,,,-118.692625
201,,Three,2.5,?,1961,Suburbs,34.124547,-118.984512
202,5538,Three,1.3273361889513895,384010,1924,Outskirts,,
203,,6,,158279,,Uptown,33.576044,-118.102452
204,large,,,568631,2007,,,-118.756496
205,8972,,,,19xx,Downtown,33.73351,-117.621343
206,large,Three,2.5,,,Midtown,,-118.98193
207,,,3.7893140516640473,,1930,Midtown,,
208,10030,,2.5,?,19xx,,,
209,large,,2.5,,1984,Uptown,34.701822,
210,,,1.2986437505713853,411069,19xx,Suburbs,33.52516,-118.645799
211,,,2.5,451657,1998,Uptown,34.302394,
212,,,,?,19xx,Downtown,,
213,8376,,3.944285222896144,,1915,Uptown,34.662401,-118.173502
214,,Three,3.9105326695080627,,,Outskirts,33.996011,
215,,2,,169095,2009,Outskirts,,-118.238038
216,,,2.5,506609,19xx,Suburbs,,
217,4443,,3.8537482355750017,309641,,Uptown,,
218,,4,2.5,?,19xx,Outskirts,,
219,,1,2.5,,19xx,Midtown,34.586967,-118.708959
220,,,2.5,?,2020,Suburbs,34.26268,-118.882901
221,,2,1.0298134435135675,?,1972,Outskirts,,
222,10013,Three,1.4103994396520045,384581,,Downtown,33.6364,-118.668961
223,7332,Three,2.441699207722726,,,Midtown,,-118.263371
224,,Three,2.5,220036,1903,Uptown,34.097373,-118.378889
225,large,4,,?,1968,Downtown,34.500233,
226,5500,Three,2.813039834469059,,1995,Midtown,34.358059,
227,,Three,2.6700786057523254,711854,1959,Downtown,34.52181,
228,5810,Three,2.8985031874576954,?,,Uptown,,
229,,Three,2.5,,1965,Suburbs,34.319914,-117.613389
230,,Three,2.438483838308112,?,1931,Uptown,,
231,large,,,328293,,Suburbs,33.679904,
232,8237,5,2.0446108187039167,,,Uptown,33.836777,-118.381731
233,11541,Three,,679252,2014,Uptown,,-118.137592
234,large,,,?,19xx,Outskirts,34.70228,
235,large,4,2.5,,1960,Uptown,34.267299,-118.231877
236,large,5,,371946,19xx,Uptown,34.372281,
237,,,2.5,,19xx,Uptown,33.501469,-118.127476
238,large,Three,2.5,,,Outskirts,,-117.804802
239,,Three,3.2027687087633856,201919,1941,Downtown,33.982198,-118.629144
240,large,,2.5,?,,Downtown,33.844844,
241,5885,,3.4726280496943236,,,Suburbs,,
242,,1,,?,,Suburbs,,
243,large,6,,,19xx,,34.200283,-118.556122
244,11909,Three,3.2242190203440866,?,,Suburbs,33.564048,
245,8818,5,2.5,?,1988,Downtown,34.167303,
246,7546,Three,2.5,513935,19xx,Outskirts,34.652117,
247,5762,,,?,,Outskirts,34.098227,-117.651133
248,large,3,2.5,,,Suburbs,33.592588,-118.022951
249,,1,,,,Downtown,34.099978,-118.245432
250,5024,,2.5,?,1956,Outskirts,33.924909,
251,large,6,1.7917752252486383,589137,1949,Downtown,,-117.681151
252,,5,,?,19xx,Downtown,,
253,11990,,2.5,258873,19xx,,,-118.847553
254,9249,Three,2.5,217860,1947,,33.873428,-118.981002
255,,Three,2.5,,,Downtown,,
256,large,1,2.5,,19xx,Suburbs,,
257,6436,Three,2.649440006695957,,19xx,,,
258,large,2,2.763949219264694,,,Uptown,,
259,large,Three,2.5,,,,,-118.289139
260,7287,Three,2.5,?,19xx,Suburbs,34.519711,
261,,3,,779340,1969,Midtown,34.34421,
262,8491,6,,,19xx,,,-118.792668
263,6706,6,1.944646413333576,?,,,34.443868,
264,large,,,728245,19xx,,34.075642,
265,,3,2.5,,19xx,,,
266,5270,2,,635393,,Suburbs,33.610292,-117.652438
267,,4,2.5,,19xx,,,
268,6625,,1.710113772431124,,,,33.945929,
269,large,3,2.5,?,19xx,Uptown,34.744862,
270,,6,1.8339951009512423,,19xx,Downtown,34.773829,-118.468566
271,4984,,,184367,,Outskirts,,
272,large,5,,?,19xx,Uptown,34.419506,
273,4656,Three,,402058,,Uptown,,-118.32964
274,,2,1.3085394920639826,166583,1932,,,
275,,Three,2.1168277465145584,,,Outskirts,33.970219,
276,,Three,2.5,168372,1937,Outskirts,,
277,,Three,,225668,19xx,Outskirts,34.560075,
278,4474,4,,,19xx,Outskirts,33.794364,
279,9740,5,2.5,,1922,Uptown,,
280,9344,,,?,19xx,Outskirts,34.119296,-118.65784
281,,Three,1.0673020570850755,,,Midtown,,
282,7379,4,2.5,206739,19xx,,33.988594,
283,large,1,,?,,Suburbs,,
284,large,Three,2.5,299952,19xx,Downtown,,-118.686474
285,large,,2.5,583850,19xx,Suburbs,,-118.284666
286,large,4,2.1024382125361414,,,,34.278641,
287,large,6,2.5,?,1954,Downtown,34.10488,-118.509672
288,7532,,3.800189405584282,236064,,Uptown,,-117.638058
289,,Three,2.5,,1938,Downtown,,-117.751308
290,,6,,,1970,Downtown,,
291,large,,,172039,,Outskirts,,-118.847504
292,large,6,,642817,,Outskirts,,-117.93803
293,11114,2,2.5,,,Midtown,34.242594,-118.673287
294,5723,,2.5,,2021,Uptown,34.2937,
295,large,,,?,,Downtown,,
296,large,Three,,195540,19xx,,34.338465,-117.807137
297,9477,Three,2.5,,1957,Outskirts,34.359816,-117.74539
298,,,,,2023,Uptown,,
299,6415,Three,,699052,19xx,Suburbs,,
300,,Three,3.613192530121055,?,1999,Suburbs,33.561223,
301,,Three,2.5,?,,Uptown,34.042808,
302,,1,2.5,472841,19xx,Downtown,,
303,10418,Three,2.5,503221,1909,,33.778781,-118.521192
304,,Three,,?,,Uptown,34.567902,-118.435804
305,,6,3.862587367249085,?,,Outskirts,33.829663,
306,large,Three,2.5,279717,,Downtown,34.71467,-117.765202
307,,5,,436012,19xx,Midtown,,-118.803227
308,large,5,1.7973725556216755,291273,1965,Suburbs,,-118.884421
309,5363,,1.7945829364736252,,19xx,Downtown,,-118.573645
310,large,,,,1983,Uptown,33.891908,-118.413841
311,,Three,,,19xx,Midtown,34.560668,
312,7750,Three,2.0713143681977817,600456,1904,Suburbs,,-118.943034
313,,,3.3603350666908565,?,,Downtown,34.636145,-117.757888
314,5460,Three,,,1921,Outskirts,33.952313,
315,8368,Three,2.236984647635931,116683,,Outskirts,,
316,11615,,1.2899249943283295,?,19xx,,33.585388,-118.400135
317,6257,Three,1.0889120716042797,?,19xx,Midtown,,-118.36158
318,,Three,2.859138737654672,389096,1949,Downtown,,
319,4473,,2.5,705348,,Downtown,,
320,large,3,,?,19xx,Outskirts,,-118.099315
321,large,1,,?,19xx,Uptown,,
322,large,2,,,1962,Midtown,,
323,11707,Three,,554346,1936,,,
324,8683,Three,2.6016336379780736,?,1977,,,-118.27109
325,5584,Three,1.0203084928595467,131672,,Outskirts,33.59287,
326,large,,3.8351515276575983,,,Midtown,33.605643,-118.390792
327,,4,2.5,?,,Downtown,,-118.003717
328,,5,2.793397060675916,?,,Outskirts,34.45365,
329,large,6,2.5147058061360132,,,Uptown,34.02089,-118.744396
330,,,2.5,,19xx,,,-118.363656
331,large,2,3.1183158795272936,,,Uptown,33.698822,-118.245028
332,,3,,,1943,Outskirts,,-118.696422
333,large,,,,,Outskirts,34.632405,-118.632119
334,large,,2.5,,,,,
335,,Three,2.5,,19xx,Uptown,34.736445,-118.17728
336,4151,,2.5,?,19xx,Uptown,,-118.278288
337,8782,,,537646,,Outskirts,,
338,11731,,2.5,,,,,-118.270811
339,large,4,3.6464807168189894,?,,Outskirts,,-117.858749
340,,Three,3.8545466436927134,?,19xx,Uptown,34.172517,
341,large,Three,1.379604946037606,?,19xx,Uptown,34.206594,-118.465238
342,large,4,2.3334709463948817,376730,19xx,Midtown,34.080613,
343,9527,Three,,?,,Uptown,33.674765,-117.91087
344,4637,Three,2.429733350219772,?,19xx,Uptown,33.919175,
345,large,Three,,?,19xx,Downtown,34.145547,
346,,2,2.5,763926,,Uptown,34.516646,
347,,2,2.5,,1902,,,-117.894416
348,10350,Three,2.5,,19xx,Outskirts,34.257254,-118.692759
349,5306,Three,,?,2021,Downtown,,-117.820639
350,5560,,2.0561795354539085,175561,,Outskirts,33.640001,
351,4459,,2.5,?,19xx,Uptown,,-118.803378
352,10178,Three,,,1926,Suburbs,,
353,5601,Three,1.2678105503165278,?,2008,Downtown,34.777671,
354,10107,1,2.5,?,1946,Uptown,,
355,6445,3,1.9600087053733821,?,1980,Uptown,33.543676,
356,4325,Three,,757738,,,,
357,,,1.3217233234654415,?,19xx,Downtown,,
358,,,,?,19xx,Uptown,,-118.300905
359,large,2,1.2312307431301623,?,19xx,,34.336627,-117.812306
360,7914,Three,3.465070534780105,?,1974,Uptown,33.64006,
361,large,,,,,Midtown,,
362,large,5,3.6087075025746813,?,2007,Suburbs,34.315539,
363,large,3,2.5,,,Outskirts,,-117.615176
364,,,,513086,19xx,,,-118.952242
365,,Three,2.2017562324655007,?,2009,Midtown,,
366,large,1,,119396,19xx,Downtown,,-118.867221
367,,,,?,19xx,Midtown,,-117.971733
368,7496,3,2.3623672886324703,,2008,Uptown,34.636388,
369,large,1,3.619458602985507,125336,19xx,Downtown,33.789427,-117.527383
370,large,Three,2.5,?,,Suburbs,34.386737,-117.720516
371,,,,?,19xx,,33.776723,-118.49629
372,,,,622487,1947,,,-118.660298
373,,Three,2.5,313670,1976,Downtown,34.391959,-118.219972
374,,5,2.0264189458096675,,19xx,Downtown,,-117.685792
375,4097,4,2.5,?,2010,,,
376,10050,Three,2.9032703684278847,,,Outskirts,,-118.850842
377,large,4,2.5,?,19xx,Uptown,,-117.688669
378,,,3.931960023451271,?,2003,Outskirts,,
379,,1,1.981671356717899,,,,34.572827,-117.688954
380,,Three,,?,1964,Downtown,34.542367,-117.672179
381,9481,4,2.5,174422,,Suburbs,33.602056,
382,large,Three,3.8642832404798346,,,Downtown,,-117.969703
383,9581,6,2.5,,19xx,Outskirts,,-117.552559
384,8351,,2.985436162413928,272843,1920,Downtown,33.954177,-118.118767
385,,,3.7162612213199657,,1929,Downtown,,-118.811632
386,8695,,2.5,453422,1972,Midtown,,
387,,2,2.5,,,Uptown,,-118.844212
388,,,2.5,725743,19xx,Downtown,34.10983,-118.396314
389,,,2.5,,19xx,Downtown,34.567412,-118.45402
390,11741,,3.14453974821275,,19xx,Suburbs,33.920703,
391,11061,Three,,?,19xx,Uptown,33.652151,-118.076219
392,7762,6,,480520,,,,-118.519687
393,large,Three,1.8778796433161573,?,19xx,Outskirts,,-117.791067
394,10246,5,2.5,?,1912,Outskirts,,-117.699726
395,,4,,193231,,,33.632419,
396,large,,2.5,639392,1979,,34.457011,-118.936419
397,,,2.5,?,,Uptown,,-117.751472
398,large,Three,2.5,?,19xx,Suburbs,34.125488,-118.052984
399,11278,Three,2.5,259550,19xx,Midtown,34.653654,-117.682517
400,4821,Three,2.5,,,Uptown,34.734217,-118.646501
401,,Three,2.5,395193,2014,Suburbs,34.556285,
402,,Three,1.5988442142595882,,1954,Uptown,34.044517,-118.954759
403,,,,218941,,Downtown,,-117.970093
404,,Three,2.5,,1958,Suburbs,33.819819,-118.015749
405,11619,4,2.5,,1919,,33.812883,
406,5964,,3.928195610439751,,19xx,Outskirts,33.851131,-117.721812
407,,3,2.7297080781948906,,1943,Downtown,34.204587,
408,large,4,,,1998,Outskirts,,-118.922432
409,11507,2,,?,19xx,Outskirts,34.448941,
410,large,Three,,421548,,,,-118.066895
411,large,,2.5,543115,,Downtown,,-118.632378
412,11110,,2.5,440762,1926,Suburbs,,-118.727414
413,11660,Three,3.3276020226209195,,1919,Suburbs,,-117.828109
414,large,Three,1.0057494523197783,,1919,Midtown,34.798607,-118.647543
415,large,2,,?,,Outskirts,,
416,9705,,2.4281034089294637,?,1935,Uptown,33.603803,
417,large,1,,708202,,Outskirts,,-117.799411
418,7591,,2.5,,1984,Suburbs,34.059747,-118.114849
419,large,2,1.6841501285950193,,1936,,34.726447,-118.686583
420,,2,2.5,,1976,Outskirts,,
421,,,3.1692953754759055,,19xx,Suburbs,34.787298,-118.089041
422,,2,3.3859694952707287,?,19xx,Outskirts,,-118.87778
423,,2,,383307,19xx,Outskirts,33.913485,-117.855212
424,11189,,,?,1976,Suburbs,33.605032,
425,9124,Three,,?,,Downtown,,-118.189828
426,large,,2.5,,1966,Midtown,,
427,large,6,2.5,234529,19xx,Midtown,,-118.740184
428,large,1,,?,1963,Downtown,,
429,9750,4,2.5,,,Outskirts,,
430,5597,1,3.5484386982868066,274447,2008,Uptown,,-117.977493
431,large,Three,2.5,?,1909,Midtown,34.431488,
432,11365,1,,?,19xx,,34.754299,
433,large,6,1.7709021618118925,,1973,Uptown,,-118.766454
434,large,,2.5,?,19xx,Outskirts,,-117.80708
435,,,,738872,1965,Outskirts,,-118.205666
436,,,1.087622632332467,,,Downtown,33.738329,
437,large,2,,,2007,Downtown,34.436226,
438,,2,2.5,758713,19xx,Outskirts,,-118.501646
439,10727,,,?,19xx,Suburbs,33.92235,-117.76646
440,,5,2.5,669792,19xx,,34.327242,-117.879041
441,large,,2.5,226097,,Suburbs,,
442,,2,,750304,,Uptown,34.168218,
443,,,1.6481115810799554,?,,Suburbs,,-117.93844
444,5615,,,190638,1907,Uptown,34.460124,
445,8591,,,?,1992,Downtown,,-118.802676
446,11494,4,,?,19xx,,,
447,7437,Three,2.5,?,,Uptown,34.702642,
448,10926,,1.3155656493857948,,19xx,,,
449,8291,1,2.5,?,19xx,Suburbs,33.609527,
450,10265,4,2.5,,19xx,,33.670877,
451,large,Three,,,19xx,Outskirts,,
452,,1,2.5,,1942,Suburbs,34.563076,-118.489003
453,4805,Three,1.7392561669508682,?,,Midtown,,
454,11657,4,1.8328764321161077,609547,2023,Midtown,,-118.038096
455,,,2.5,,,Downtown,34.238748,-118.223778
456,,3,3.03293062215705,?,1954,,,
457,7624,Three,1.3990566486713012,728164,19xx,Downtown,,-118.886343
458,,4,2.5,,1988,Midtown,33.802713,
459,10133,Three,2.5,,19xx,Midtown,,
460,11253,,,282408,,Suburbs,,-118.140669
461,,,2.5,604254,,Suburbs,,
462,large,Three,2.5,,1979,,,-118.547724
463,,4,3.6908049058380956,,2005,Outskirts,34.024747,-117.510564
464,,1,2.5,?,1907,,33.768169,-118.096617
465,,Three,,?,19xx,Midtown,,
466,large,4,3.5425727697980745,,,Suburbs,,-118.108846
467,11305,,,206497,19xx,,,
468,5811,Three,,?,,Outskirts,34.644973,
469,4688,5,,,,Uptown,34.487135,
470,4263,Three,2.837118159629731,352016,,Downtown,34.526531,-117.699138
471,,Three,,154455,19xx,Uptown,,
472,large,Three,3.3333731353276526,,19xx,Uptown,34.646042,-118.907721
473,,Three,2.2363023260994663,,1998,Downtown,33.580426,-117.545548
474,,Three,2.5,?,,Midtown,33.676353,
475,large,4,2.5,,1966,Uptown,34.423286,
476,,,,542817,2013,Outskirts,,
477,7258,,2.5,,1987,Uptown,,
478,,Three,2.5,572209,1963,Uptown,33.859818,
479,4066,,,?,19xx,Outskirts,34.540014,
480,large,,3.0141964125965317,,,Suburbs,,
481,large,,,?,19xx,Midtown,34.213775,
482,large,,2.5,?,19xx,,,-117.736839
483,10280,,1.648572217768674,644474,19xx,Downtown,34.143187,-118.546284
484,6788,3,,,19xx,Downtown,,-118.777355
485,4742,,,?,19xx,Midtown,34.621441,
486,,Three,1.0649026509076087,788551,19xx,Outskirts,34.072651,-118.249139
487,large,5,3.545530584761244,671253,1908,Midtown,,
488,large,4,2.5,,,Uptown,34.111952,
489,large,,,680093,19xx,Uptown,,-118.743763
490,large,5,2.5,?,1998,Uptown,33.849465,-118.55922
491,9072,5,2.4920608154736517,186284,1957,,,-117.815311
492,large,Three,,646939,19xx,,,
493,,,2.5,674385,19xx,Outskirts,34.03441,-117.849775
494,large,Three,,395483,,Suburbs,,
495,,Three,2.5,238739,,Uptown,34.596568,-118.10835
496,,,,673701,,Downtown,34.457149,-118.532376
497,5871,3,2.5,431401,,Outskirts,33.586338,-117.873216
498,4726,,2.5,?,1939,Midtown,33.863987,-117.667031
499,6145,,,?,2003,Downtown,34.002878,-118.880795
500,7081,5,,?,19xx,Downtown,,
501,7481,3,,427036,1908,Midtown,,
502,,2,,,19xx,Downtown,,
503,,,,,1927,Uptown,34.516782,
504,,Three,2.282506733695113,512950,,Suburbs,34.690505,-118.544484
505,4403,4,,?,1994,Outskirts,,-117.561414
506,10484,,3.5269527905711833,?,1970,Midtown,,-117.532734
507,4765,,3.6808763672107676,,1925,Suburbs,,-118.822354
508,large,Three,2.5,,1912,Suburbs,,-117.952525
509,large,,,,19xx,Midtown,34.710503,
510,large,Three,,,,Outskirts,,
511,large,Three,2.5,207065,1908,Uptown,,
512,,,2.5,?,19xx,,34.476174,
513,8877,Three,2.5,?,,Outskirts,,-117.846269
514,large,Three,,?,,Outskirts,33.581794,
515,large,Three,,356598,1980,,33.556703,-118.135605
516,8185,,1.0609751356981167,151155,1926,Suburbs,33.828145,
517,,,,?,1904,Outskirts,33.837686,
518,,4,,,1942,Downtown,,
519,9054,Three,2.567134642070175,,,Downtown,,
520,10299,Three,,?,,,34.641547,-118.55381
521,,5,2.5,,1935,,,-117.892937
522,7972,3,2.5,717990,19xx,,,-118.84525
523,9090,Three,,?,1933,Outskirts,,
