ID,LotSize (sq ft),Bedrooms,Bathrooms,Price ($),YearBuilt,Neighborhood,Latitude,Longitude
167,,3,1.1311972247082807,323268,,Uptown,34.784942,-118.039473
168,large,,,135639,,Suburbs,,-118.478237
169,,Three,3.9568513327644057,243882,,Uptown,33.540487,
170,,3,,635880,19xx,Uptown,34.125425,
171,6864,Three,2.5,707827,19xx,Midtown,33.69383,-118.463213
172,4832,4,2.5,631024,2022,Downtown,,-118.868783
173,7749,,2.5,295492,19xx,Uptown,34.12683,-117.658443
174,4154,Three,,219411,1916,Uptown,33.534869,-118.700717
175,,,1.4362525070442744,743417,1999,Downtown,34.315053,
176,large,Three,3.0309264597949492,721283,19xx,Midtown,,-118.748822
177,large,4,,434113,19xx,Uptown,,
178,,,1.4770912277977988,579367,19xx,Downtown,,-118.618928
179,8839,,,590418,1991,Uptown,33.718895,
180,large,,,526227,19xx,Outskirts,,-117.571079
181,9282,Three,,227480,1909,,34.453276,
182,large,,3.422420236832437,168110,,Uptown,34.790682,
183,10331,Three,3.371489258812227,386924,19xx,Suburbs,33.641723,-117.893575
184,7623,4,2.5,730474,19xx,Outskirts,,
185,large,4,,275448,,,,
186,large,,1.7159378962386862,234411,,Midtown,34.189854,
187,large,2,2.212777444652498,234311,1937,Downtown,34.442249,-118.890193
188,large,2,2.5,575620,1984,Midtown,,
189,large,1,,145034,19xx,Midtown,,-117.91004
190,large,Three,2.5,511405,19xx,Uptown,33.636207,-118.089205
191,4590,,,788465,19xx,Suburbs,33.801282,
192,9187,Three,,544917,2003,Downtown,33.530776,
193,,Three,2.5,394188,1924,Uptown,33.896733,
194,large,,2.5,113217,1978,Uptown,,-118.740253
195,5377,Three,,161209,2016,Midtown,34.323532,
196,4699,1,,225828,19xx,Uptown,,
197,large,,,677003,,Downtown,,
198,,,2.5,162179,1938,Midtown,34.529702,
199,large,1,2.5,346752,,Downtown,33.771152,
200,large,Three,2.5,298927,19xx,Uptown,33.83394,-117.958711
201,,,3.357958750145645,176793,1912,Uptown,33.618068,
202,,3,3.3467558599934324,569215,,Uptown,,-118.402662
203,large,4,2.5,527920,,Uptown,34.510894,-117.923702
204,large,,,742797,19xx,Downtown,34.510456,-118.643301
205,7382,2,2.381548569669399,299162,,Outskirts,33.727846,
206,large,Three,2.5,229191,1933,Downtown,33.574697,
207,,4,,439921,,Outskirts,33.82849,-117.852321
208,6527,Three,3.5539978770289746,779998,19xx,Downtown,,-117.795244
209,,,3.898686167942945,463443,,Midtown,34.411658,-118.890623
210,,,2.5,533444,19xx,Uptown,,-117.863928
211,,Three,2.5,622861,19xx,Outskirts,33.962295,-118.988159
212,,,1.78102279808243,699663,1912,Midtown,,
213,4565,Three,2.5,702492,19xx,Suburbs,33.956046,-118.439806
214,7821,5,,707873,1913,Midtown,34.798063,-118.811591
215,,4,,799690,1905,Suburbs,,
216,large,Three,,519939,1936,Outskirts,34.665156,-118.165405
217,10363,,,668075,,Midtown,,
218,6140,,,574101,,Outskirts,,
219,large,,1.8176622734065817,586640,1919,,,-118.980719
220,11347,,,122230,1949,Outskirts,33.923304,-117.882813
221,4317,,,347843,1924,Downtown,,-118.69938
222,5800,3,2.5,541450,,Outskirts,,
223,,,3.439744244863613,538110,19xx,Suburbs,,-118.971354
224,8847,5,,236806,1990,,34.480364,
225,,Three,2.5,338612,,Suburbs,,-118.449329
226,9691,4,,147498,1970,Midtown,,
227,large,5,3.7748205335121803,589269,19xx,Uptown,34.338766,-118.612625
228,,6,2.5,545860,1943,,,-118.149125
229,,Three,,176162,19xx,Midtown,34.717876,
230,9903,Three,3.924083327752169,482114,,Downtown,,-118.74085
231,6563,1,3.0312875832797532,795944,,Midtown,33.8638,
232,large,,2.940234469731525,187596,1966,Outskirts,,-118.057873
233,,Three,2.5,118602,19xx,Downtown,,-118.014653
234,large,,3.943513478809269,440006,,Suburbs,33.628105,-118.896062
235,,,3.351880094694708,468999,19xx,Uptown,33.896087,
236,large,3,2.5,607025,1990,Uptown,34.518327,
237,large,Three,2.780466032199523,180736,1970,Uptown,,
238,8626,,,707200,,Suburbs,34.236605,-118.93691
239,,,,122313,1987,,33.503917,
240,4514,Three,2.395862741162235,299694,,Uptown,,-118.232
241,large,,,598791,1935,,,
242,,Three,3.2071587481100514,707234,19xx,Downtown,,
243,,6,,103706,1961,Suburbs,34.668983,-118.560747
244,,,3.8885848115399595,509697,19xx,Outskirts,34.09795,
245,,,,444023,1915,Uptown,33.53873,
246,9888,3,2.5,738581,,Suburbs,33.832133,
247,10790,4,2.5,165525,1925,Suburbs,,-118.772603
248,,Three,,645290,19xx,Outskirts,,
249,large,Three,2.5,389886,,Midtown,,
250,,Three,2.5,700246,19xx,Uptown,,-118.126891
251,large,,,376262,1954,,34.530951,-117.738649
252,,6,1.0278010553700394,243552,1968,Midtown,,
253,7592,,,302015,1960,Outskirts,,-117.527691
254,large,2,2.5,416737,19xx,Downtown,,-118.034418
255,,Three,3.1417752103917205,786015,1977,,,-118.293155
256,large,,2.5,573968,,Outskirts,,
257,large,5,3.5884527945805855,274975,1910,Midtown,34.216103,-117.879034
258,,Three,2.5,133512,19xx,Midtown,,
259,4969,,2.5,400172,19xx,Downtown,,-118.499128
260,,Three,,704486,19xx,Outskirts,33.731108,
261,large,3,,500248,19xx,,,-118.76539
262,11806,3,3.4849770584782904,429302,19xx,Outskirts,,
263,,,,599149,19xx,Uptown,,
264,large,6,3.8027429893232254,157546,19xx,Downtown,,
265,9323,3,2.275148774037171,551659,19xx,Downtown,34.407334,-118.553377
266,,,3.4847962913495185,164263,19xx,Downtown,,
267,,4,2.5,121222,1952,,,
268,8053,Three,1.4568061163825767,349582,19xx,Downtown,33.877021,
269,large,Three,2.551308578873808,442021,19xx,Suburbs,34.14459,-118.711257
270,11965,Three,2.5,160946,1921,,34.121473,
271,large,,2.5,382086,,,,
272,6205,1,3.798050010436154,469120,,Suburbs,33.666087,
273,,2,3.526222843651793,651078,19xx,Suburbs,33.767285,-118.676958
274,5823,6,,494526,,Midtown,34.057329,
275,large,2,2.580542371437566,106605,,Downtown,33.777502,
276,,2,,525377,1966,Uptown,,
277,large,Three,2.5,404778,,Outskirts,,-117.964872
278,11574,5,,382001,1965,Midtown,,
279,11386,,2.5,790348,19xx,,,-117.899924
280,large,,2.444949085667963,302369,1999,Outskirts,34.438903,
281,large,2,,397029,19xx,Downtown,,
282,8517,4,2.5,599806,1995,Uptown,33.648413,-117.589777
283,6549,2,2.5,232211,,Downtown,,
284,,2,2.5,720081,1995,Suburbs,,-118.579776
285,large,4,2.5,326378,1969,Uptown,,
286,6015,5,2.5,335509,,Midtown,,
287,9753,Three,,676134,1932,Outskirts,,-117.642324
288,,6,,135999,,Downtown,33.994987,
289,large,,2.5,545862,2000,Downtown,34.297896,-118.781596
290,5987,,2.5,563058,2016,,33.538701,-118.698174
291,,3,,597017,1903,Outskirts,33.611945,
292,,Three,,759954,,Suburbs,,-117.729556
293,11064,3,,546504,,Midtown,34.418787,-117.996338
294,,6,1.1484330070520277,281893,,Midtown,,
295,11819,Three,3.163009931526928,610406,,Midtown,34.690181,
296,11757,Three,2.871622384341579,525710,2010,Uptown,33.822982,-118.13399
297,,,,789352,,Uptown,,
298,7728,4,1.599732198159328,774675,,Uptown,33.825451,-118.241878
299,,,2.5,153813,19xx,Downtown,33.507327,
300,large,,1.9371693108547134,628266,19xx,Outskirts,,-117.981355
301,11880,5,,783563,19xx,Outskirts,33.82746,-117.789997
302,large,,,735040,,Outskirts,33.574976,-117.564558
303,,,,329564,,Outskirts,,
304,,Three,2.5,387506,19xx,Downtown,34.627914,-118.70298
305,large,,1.3573888652712092,592554,19xx,Suburbs,,
306,large,4,2.6292043682809396,196883,19xx,Uptown,,
307,5331,,2.4473821734605097,695791,1903,Outskirts,34.366857,-118.221249
308,large,,2.5,479673,19xx,Downtown,,-117.549364
309,large,Three,2.5,568725,,Midtown,,-117.678393
310,large,1,,540011,19xx,Outskirts,33.982867,
311,large,6,,528072,19xx,Midtown,,-117.921216
312,9603,2,2.5,336409,,Uptown,,-118.671047
313,5067,Three,2.5,407675,2020,Outskirts,,-117.685316
314,4386,Three,1.303938732466733,700900,,Outskirts,33.76566,-118.502649
315,11251,,,112708,1934,Suburbs,,-117.636843
316,large,Three,3.8624306145098615,348569,1981,Midtown,,-117.733396
317,large,Three,3.8703566404828154,349175,,,,
318,large,3,2.5,631081,,Outskirts,34.464686,
319,large,,,273933,2003,Midtown,,-118.274838
320,,5,2.680022170399318,176748,1914,Uptown,34.656713,-118.752394
321,large,Three,1.4950373483109514,203551,19xx,Downtown,,
322,,5,2.5,724599,,Uptown,,
323,,,,570240,19xx,Outskirts,,
324,4773,,,100976,2016,Suburbs,34.397299,
325,8464,,2.5,335497,1940,,34.574258,-118.621923
326,,Three,2.5,269582,,Suburbs,33.704045,
327,,4,3.386356221615736,520658,19xx,Suburbs,,-117.98318
328,6966,Three,2.5,289458,1968,Midtown,34.154817,
329,large,,2.5,137653,,Suburbs,33.954675,
330,10646,,3.766675446505055,666279,,Suburbs,34.571969,-117.922313
331,4687,Three,2.5,740316,19xx,Downtown,34.163512,-118.273856
332,4725,Three,3.046651849136476,295560,,Suburbs,34.277741,-118.726252
333,large,Three,2.6753141556047795,290757,2017,,34.268248,
334,8195,Three,1.5999159808866623,558192,19xx,Downtown,,
335,,Three,3.766147568872986,788201,19xx,Suburbs,34.475396,-118.228459
336,7974,Three,1.18856311353216,727486,1961,,,
337,large,,2.5,646581,,,34.44335,-118.570115
338,large,4,3.1340516184076526,296537,1951,Suburbs,34.415357,-117.936725
339,,5,2.5,286873,19xx,,34.480257,-118.986714
340,,,2.775984969425802,457272,1910,Outskirts,34.210996,-117.912109
341,8133,2,,572862,19xx,Suburbs,,
342,,2,2.5,707593,,Downtown,33.788285,-118.60147
343,11863,6,,483717,,Midtown,34.066764,
344,,Three,2.5,474054,1949,Outskirts,,-118.173823
345,7701,3,2.5,161428,1975,Suburbs,,
346,,Three,3.9711310558065875,366686,19xx,Uptown,,-117.722429
347,,1,2.5,326291,1995,Outskirts,,-118.1876
348,11982,Three,,514188,19xx,Uptown,,-118.162068
349,,6,1.2842758281517417,198213,19xx,,,
350,large,2,1.2692699009373167,150680,,Outskirts,34.723102,
351,large,,,247046,1998,Suburbs,,-118.718072
352,8617,,3.0332279540406697,585646,,Uptown,34.609298,-117.506003
353,large,,,705438,19xx,Uptown,34.272061,-118.638567
354,,,2.5,134518,1961,Midtown,,-118.629546
355,11806,Three,1.4283232789143185,690800,19xx,Midtown,34.704148,-117.857367
356,10662,,2.0972624399524005,715014,,Downtown,,
357,6729,Three,,569757,19xx,Uptown,,-117.668711
358,large,Three,,135379,2021,,34.605304,-118.60317
359,large,Three,2.804006121643266,424185,1967,Uptown,,-118.60008
360,4468,4,2.5,255632,,Outskirts,,-118.946358
361,,Three,2.5,549871,,Outskirts,,
362,,Three,2.5,716334,2005,Outskirts,34.209472,-117.700768
363,large,,2.5,505443,1907,Uptown,33.936499,-118.830359
364,large,Three,,144967,1961,Suburbs,,-118.349932
365,large,3,1.4061479117744535,646344,19xx,Midtown,,
366,6440,Three,2.455693304300146,683606,1946,Outskirts,,
367,6106,Three,3.925837254545388,566222,19xx,Suburbs,33.541144,
368,,Three,1.5431704645951743,477797,1996,Downtown,34.374658,
369,5038,Three,1.5813317988932245,309447,19xx,,,-117.795951
370,6074,,2.5,530453,19xx,Suburbs,34.430464,
371,large,,2.5,159716,,Outskirts,34.396652,-117.78385
372,large,Three,,541268,,,,
373,,,2.5,441665,,Suburbs,,
374,,3,2.5,675109,19xx,Outskirts,33.845574,
375,large,,2.5,338788,19xx,,,
376,,,3.2076393824032055,339704,2009,Downtown,34.64527,
377,,6,2.5,577486,1929,Outskirts,,
378,large,Three,2.5,730788,,Uptown,34.582548,-117.659741
379,11669,,1.310933654176556,215433,19xx,Uptown,,
380,,,2.340841543163157,550644,,Suburbs,34.521875,
381,,,,236304,,Uptown,33.518672,
382,4097,Three,,532934,19xx,Suburbs,34.751381,
383,large,Three,2.5,138115,19xx,,,-117.733217
384,large,,2.5,337602,19xx,Midtown,,
385,,,,690629,19xx,Downtown,34.57979,
386,large,Three,,771775,19xx,Suburbs,,-118.541437
387,large,Three,2.184247279570542,183077,,Outskirts,,
388,large,1,,495066,1907,Uptown,,
389,7056,,1.8234005175954549,489450,19xx,Downtown,34.613096,
390,8765,3,1.3710670679535992,458296,19xx,Suburbs,33.686138,
391,,Three,2.9972645558903492,317633,2013,Suburbs,33.655791,
392,,4,2.5,169542,19xx,Suburbs,,
393,large,,1.2129142699026918,141534,,Outskirts,34.168875,-118.460414
394,,5,2.5,682176,,Midtown,33.60068,
395,5604,,,520728,19xx,Suburbs,33.813622,
396,,,2.5,151915,1961,Suburbs,,-118.017197
397,,Three,2.5,372992,19xx,,34.404603,-118.478714
398,4985,Three,,407741,19xx,Uptown,,-117.951273
399,large,Three,,671214,1915,,34.570116,-118.905043
400,,Three,,726828,1957,Downtown,,
401,11802,2,,668194,,Suburbs,,-118.43987
402,,2,3.8222478433517306,460466,1966,Uptown,,-118.134523
403,large,4,2.5,114375,1906,Midtown,34.59746,
404,large,,1.950655880563001,523978,,Downtown,,-118.752476
405,,Three,3.879154066880575,791521,,Outskirts,,-117.880417
406,,Three,,387431,,Uptown,,-118.641972
407,large,Three,2.5,536230,,Midtown,34.472535,-118.778062
408,,,2.5,573576,,Uptown,34.359638,
409,large,6,,695920,1924,Suburbs,33.909273,-117.879733
410,6835,,,324725,2003,Downtown,34.11082,
411,,,,412192,1931,Downtown,34.782151,
412,large,,,727043,1972,,34.351078,-118.323954
413,7968,Three,2.5,566167,,Midtown,,
414,,6,2.5,701283,,Uptown,,-118.757114
415,,,,567603,1902,,,
416,large,6,1.9705403714624716,349051,19xx,,,
417,large,,3.4956200784297,429161,19xx,Midtown,33.753513,
418,4188,Three,3.8363964333550467,621336,19xx,,33.552122,-118.196962
419,large,6,2.8389855204528383,366766,19xx,,33.712418,-118.01133
420,large,1,2.5,629178,1917,Downtown,,
421,4302,Three,2.5,397912,19xx,Outskirts,,
422,large,,3.7599279377319723,363157,1976,Downtown,34.744788,
423,4584,4,3.8441495190572468,684474,,Uptown,34.736696,-118.613146
424,,,3.931952083026527,792991,1972,,34.538746,-117.779689
425,,1,2.5,276567,1921,Downtown,,
426,11606,,2.5,250559,,Midtown,,
427,large,,3.726442416380662,284091,,,,
428,large,Three,,152828,,Outskirts,,
429,large,,2.5,173440,,Outskirts,,-118.405908
430,4941,6,2.407495334165965,308178,1934,Midtown,,
431,9530,4,,420244,1958,Outskirts,33.524778,-117.838907
432,7966,6,,551335,,Midtown,33.873091,-117.60005
433,11391,Three,1.1716067406725326,383983,,Suburbs,,-118.926168
434,,,,375056,19xx,,33.828109,
435,large,4,2.5,375802,2002,Downtown,,
436,9461,,2.5,540252,1954,Suburbs,34.281009,-117.766545
437,large,Three,,755791,,Suburbs,33.823743,-118.034894
438,large,Three,,567528,19xx,Midtown,34.63739,
439,large,Three,2.5,568542,1962,Downtown,,-118.231425
440,,,,265635,,Uptown,34.707108,-118.613617
441,,Three,,229145,1949,Downtown,34.119087,
442,11532,Three,3.9199741392097756,279619,1989,Uptown,,
443,large,5,,648336,,Downtown,,-118.908031
444,9915,3,2.5,624205,19xx,Midtown,34.630701,
445,8572,3,,368616,19xx,Uptown,,
446,9643,Three,1.7530890202180345,647036,,,34.642575,-118.332289
447,11999,2,,516292,,,,
448,large,Three,2.5,638452,1902,Outskirts,33.606735,
449,large,6,2.5,219233,19xx,Outskirts,34.768515,
450,large,6,,226587,2001,Uptown,,
451,large,,,796630,,Outskirts,,
452,large,5,,238678,1981,Outskirts,,
453,,1,3.0471757248235756,299101,,Outskirts,34.778721,
454,11491,1,3.700046574969086,722442,19xx,Midtown,33.637781,
455,,,3.0960317090429026,753831,19xx,Midtown,,-118.854378
456,,3,2.7627984270808104,406012,1938,Midtown,,
457,8739,Three,2.5,427089,2001,Outskirts,,
458,,Three,1.7725303208586602,753636,,Uptown,34.25615,-117.927699
459,8751,1,,503192,,Outskirts,,
460,4439,Three,,142255,19xx,,33.553659,-117.670503
461,,,2.5,213622,,Outskirts,33.762087,
462,,5,1.7368864100269898,378934,19xx,Suburbs,33.557033,
463,large,3,2.091276821181337,683512,19xx,Outskirts,,-118.918951
464,4682,1,2.884500235581935,760907,,Midtown,,-118.690306
465,5655,,2.5,711246,19xx,Downtown,,-118.466177
466,large,4,,427706,1987,Outskirts,33.99727,
467,large,3,,635991,19xx,Suburbs,33.851411,-118.391145
468,11451,1,2.750654346753252,602775,,Midtown,,-118.319911
469,,5,2.5,328998,1904,Suburbs,34.447248,-118.237675
470,,,2.5,270501,1934,Uptown,,
471,11568,Three,,511626,19xx,,,
472,,2,2.5,139978,19xx,Midtown,,
473,large,,3.0843581236957456,676796,,Midtown,,
474,,,2.5,240874,,Uptown,33.595203,
475,,,2.5,470251,,,,-117.892391
476,large,5,1.0555334495867197,618703,19xx,Downtown,,-118.536128
477,,,1.5441791020938105,430780,1922,Downtown,,-118.113555
478,,6,,550418,,Downtown,33.627211,
479,,Three,2.5,758949,19xx,Outskirts,,-118.463632
480,,Three,2.5,566048,19xx,Outskirts,33.566814,-117.86391
481,,Three,,771927,19xx,,,-118.89619
482,,5,2.5,464271,,Outskirts,33.931153,
483,6219,Three,3.4184250473419744,236176,,Downtown,33.765089,
484,,Three,,306108,,Uptown,34.608127,-117.644294
485,,3,2.537028024798957,152684,,Uptown,,-117.731896
486,11142,,1.365184383564782,637532,19xx,Uptown,34.39274,
487,,Three,2.5,248517,,Midtown,34.540817,-117.800549
488,,,2.5,424559,19xx,Midtown,34.435543,
489,10979,Three,,385394,,Downtown,34.422141,-118.43013
490,7308,4,2.5,271832,19xx,Downtown,,
491,4215,6,2.5,405876,1917,Downtown,34.729885,
492,10188,3,,740647,1931,Midtown,,
493,large,,,182254,,Uptown,34.404801,-117.842573
494,5245,5,,791878,1932,Outskirts,34.248051,-118.123371
495,,,,666555,,Midtown,,
496,large,1,2.5,607322,1989,,33.516609,
497,large,3,2.5,171817,1964,Downtown,,
498,,5,2.988621460270254,564755,,Suburbs,,-118.410346
499,10165,Three,,453515,,Suburbs,,
500,large,Three,,442436,,Uptown,33.570035,-118.781363
501,large,,2.5,107629,1941,Suburbs,,-117.73381
502,,,2.5,543392,19xx,Outskirts,33.837475,-118.34101
503,large,2,,781210,,Downtown,34.04577,
504,,,2.5,436854,19xx,Midtown,34.028428,
505,8405,,2.48602340296095,593889,19xx,Uptown,,-117.985454
506,large,4,2.5,647017,19xx,Midtown,33.861542,
507,5872,Three,,721936,1947,Uptown,34.332376,
508,,,,415817,1913,Midtown,,-118.641743
