'ID','LotSize (sq ft)','Bedrooms','Bathrooms','Price ($)','YearBuilt','Neighborhood','Latitude','Longitude'
97,large,3,'?',288573,'?','?',34.588711,'?'
98,'?','?',2.5,696227,2019,Midtown,33.543497,-118.276967
99,'?',Three,'?',454789,1964,'?','?','?'
100,large,3,3.774380133030434,284039,'?',Uptown,33.882052,'?'
101,'?','?',2.5,471913,1971,Downtown,'?',-118.381605
102,'?',Three,3.7957325520859837,183487,'?',Suburbs,'?',-118.778517
103,large,'?',3.573974429761152,492508,19xx,'?','?','?'
104,'?',6,1.247224285522027,653136,'?','?','?','?'
105,'?',Three,2.5,656998,19xx,Downtown,33.965158,'?'
106,'?',5,1.7118307740030132,239258,19xx,Suburbs,34.777117,'?'
107,large,Three,2.0522440387193583,412450,2009,Downtown,'?',-117.872815
108,4953,3,2.6458090345025402,225091,1964,'?',34.189291,-118.835712
109,'?',3,2.5,568170,'?',Suburbs,'?','?'
110,'?',Three,'?',642556,1955,Outskirts,'?',-117.7093
111,11828,'?',2.3435178925177462,101870,2013,Downtown,34.657936,-118.824136
112,large,Three,2.5,528215,'?',Outskirts,'?','?'
113,'?',Three,'?',766380,1926,Uptown,'?',-118.842762
114,'?','?',2.5,603547,'?',Uptown,33.568783,'?'
115,8824,Three,3.2047671364334054,247299,19xx,'?',33.764519,-118.861186
116,'?',5,2.5,110081,19xx,Uptown,'?','?'
117,'?',5,2.5,472621,19xx,Midtown,34.24398,'?'
118,10928,'?',1.931312835246613,671625,1968,'?','?',-118.40442
119,5524,'?',2.2818104559003376,360314,19xx,Downtown,'?',-118.645006
120,large,4,2.5,458387,'?',Uptown,'?',-117.597032
121,large,2,2.5,707765,19xx,Uptown,'?','?'
122,'?','?','?',618209,19xx,Outskirts,33.636199,'?'
123,'?','?',2.5,176692,'?',Suburbs,34.710382,'?'
124,'?',Three,2.5,169284,19xx,Downtown,34.014246,'?'
125,large,Three,'?',620095,19xx,Suburbs,'?',-118.655492
126,'?','?',2.5,729495,1900,Midtown,33.966073,'?'
127,'?',Three,'?',673139,1956,Midtown,'?','?'
128,9623,'?','?',456731,1906,'?',34.716153,-118.834179
129,'?','?',2.2041945673678964,646377,1997,Downtown,33.998333,'?'
130,'?','?',2.8948152925181874,485544,1907,Outskirts,'?',-117.798274
131,large,4,2.5,798631,19xx,'?',33.898308,-118.553451
132,'?',6,2.5,289231,1989,Uptown,33.637253,'?'
133,'?',Three,'?',468550,'?',Midtown,'?','?'
134,'?','?',2.6410638500818546,496038,'?',Uptown,34.534793,-118.608069
135,'?',Three,2.5,716641,'?','?',34.724017,-118.359021
136,4860,'?','?',433977,1914,Outskirts,'?',-118.605697
137,large,'?',1.623846633087643,292102,19xx,'?','?',-118.829277
138,'?',Three,'?',167762,2016,Midtown,'?','?'
139,large,3,2.5,794731,1950,Suburbs,34.292313,-117.598527
140,large,'?',1.7763864651859476,169244,'?',Outskirts,34.775683,'?'
141,'?',Three,2.399259307720261,178692,'?','?','?','?'
142,4271,Three,'?',507040,'?',Midtown,'?',-118.361678
143,4905,5,2.5,507937,1922,'?',33.653461,'?'
144,11499,Three,2.5,136588,'?',Uptown,'?','?'
145,large,Three,3.093746879136952,525624,19xx,Outskirts,33.94545,-118.930826
146,large,5,'?',544131,19xx,Uptown,'?','?'
147,'?',Three,2.5,141328,19xx,Outskirts,'?',-118.567703
148,6202,6,'?',644319,19xx,Downtown,'?',-118.102627
149,'?',6,1.1862842511917209,789506,'?',Downtown,33.836573,-117.772139
150,large,'?',3.154820322317707,416600,1956,Suburbs,'?','?'
151,large,'?',2.5,196768,'?',Midtown,'?','?'
152,large,'?','?',509266,'?',Outskirts,'?','?'
153,large,2,'?',786461,2011,Uptown,34.204102,-118.975059
154,'?',3,'?',755151,19xx,'?','?','?'
155,large,'?','?',472872,'?','?',34.552032,-118.427256
156,large,'?',3.661058711859544,268699,2003,Suburbs,'?',-118.998026
157,8293,6,'?',259368,19xx,Outskirts,33.942523,'?'
158,'?','?',2.5,367102,1968,Uptown,34.257985,-118.602507
159,'?','?',2.5,338328,19xx,Midtown,'?','?'
160,large,'?',3.538038076769232,779807,'?',Outskirts,'?',-118.411711
161,'?',Three,2.5,757397,2014,Downtown,'?','?'
162,7198,2,1.4143368317461373,700951,1990,Outskirts,'?',-117.719893
163,large,Three,2.5,772135,'?',Midtown,34.773194,-118.822358
164,9059,Three,3.9964397713970516,708930,1914,Downtown,34.189737,'?'
165,'?','?','?',236683,'?','?','?',-118.270197
166,'?',Three,'?',562547,2013,Suburbs,33.740175,'?'
167,'?',4,1.3122394958915344,158532,'?',Downtown,33.613572,'?'
168,8931,'?',3.954014241975386,464540,1911,Uptown,'?',-118.409648
169,'?',Three,2.2747571929727073,239792,19xx,Suburbs,'?','?'
170,large,Three,1.461065908624303,625778,'?',Suburbs,'?','?'
171,10800,'?',2.5,658703,19xx,Suburbs,34.357971,'?'
172,'?',Three,'?',683425,'?',Uptown,34.23656,'?'
173,'?','?',3.784525185407711,290564,1932,'?','?','?'
174,'?',6,'?',123535,'?',Suburbs,'?',-118.82976
175,large,2,'?',358203,1921,Outskirts,'?',-118.106063
176,9569,'?','?',614675,19xx,Suburbs,34.322542,'?'
177,9780,6,2.626240504524023,365376,'?',Suburbs,'?',-118.998672
178,11567,'?','?',358507,19xx,Uptown,33.770722,'?'
179,large,'?',2.5,620608,'?',Suburbs,33.79882,'?'
180,large,'?',2.6025974378796954,310555,19xx,Downtown,'?','?'
181,'?',Three,2.651822299042308,552959,19xx,Midtown,'?','?'
182,5497,'?','?',175130,'?',Suburbs,'?',-118.170807
183,large,1,2.5,402402,1913,Midtown,'?','?'
184,large,'?','?',161021,'?',Uptown,'?',-117.580224
185,'?',4,1.9477516965357369,243088,1962,Downtown,34.724177,'?'
186,6598,2,3.8423931067340042,283236,'?',Downtown,'?','?'
187,9097,6,'?',253120,2006,Outskirts,33.96505,'?'
188,large,6,2.5,333702,'?',Midtown,33.545118,'?'
189,4842,'?',3.0567483219899168,145570,'?',Downtown,34.62758,-118.425821
190,8877,'?',2.5,313370,'?','?',34.621047,'?'
191,'?',2,2.5,729985,'?',Uptown,'?',-118.735033
192,large,Three,'?',383966,'?',Uptown,34.054366,-117.778008
193,large,1,2.5,157950,'?',Suburbs,'?',-118.177698
194,'?',Three,2.5,537537,2001,Midtown,34.745329,'?'
195,'?','?',3.4477004720370323,194351,1943,'?',34.191814,'?'
196,7687,Three,3.8384703122405432,503374,19xx,Outskirts,34.309301,-118.858716
197,'?','?',2.5,737218,'?',Downtown,'?',-117.799195
198,8519,'?','?',608051,19xx,Outskirts,34.008257,-118.022412
199,5732,Three,'?',105139,19xx,Suburbs,'?','?'
200,large,'?','?',106277,19xx,Outskirts,34.095016,-118.320076
201,4209,Three,2.5,393071,1920,Suburbs,33.852696,'?'
202,large,'?',2.5,435266,'?',Outskirts,34.675478,-117.887113
203,11020,Three,'?',352863,19xx,Midtown,'?','?'
204,large,4,2.5,206342,19xx,Outskirts,'?','?'
205,'?',5,'?',533340,19xx,Outskirts,34.337572,-117.50345
206,large,2,1.6194995636156002,583552,19xx,Outskirts,'?',-118.896856
207,large,5,'?',192912,1941,Uptown,33.805476,-117.890176
208,large,'?','?',398092,19xx,Midtown,34.442359,-118.263344
209,large,'?',3.6173608857746133,228683,2021,Midtown,'?',-118.714246
210,large,Three,2.5,624145,2008,Downtown,'?','?'
211,'?','?','?',521405,'?',Suburbs,33.692874,'?'
212,large,4,2.5,356691,19xx,Uptown,33.56275,'?'
213,10560,6,2.3694421173348337,694013,'?',Midtown,'?',-118.437309
214,large,5,'?',467610,1941,Suburbs,33.681143,'?'
215,large,'?',1.713761141677809,709854,1936,'?','?','?'
216,'?',2,'?',476960,'?',Suburbs,33.794341,'?'
217,11312,6,2.5,278025,'?',Uptown,33.950224,'?'
218,8582,Three,1.3175662852863355,598247,19xx,Outskirts,34.148715,'?'
219,4918,Three,2.5,653052,1952,Midtown,34.038332,'?'
220,'?',1,2.5,625677,19xx,'?','?','?'
221,large,3,1.1713298791318185,568402,1991,'?','?',-118.173952
222,4507,5,1.3326896881856234,574538,1949,Downtown,'?',-118.814277
223,'?',1,1.2759196708308098,556751,1911,'?','?',-118.161161
224,11712,Three,'?',483871,'?',Midtown,'?','?'
225,'?','?',2.5,334275,1990,Midtown,33.664887,'?'
226,'?',3,'?',294895,'?',Suburbs,33.861841,'?'
227,large,Three,2.5,159481,19xx,Uptown,'?','?'
228,large,3,'?',518551,19xx,Downtown,'?','?'
229,7391,Three,'?',473842,19xx,Outskirts,'?',-118.2315
230,'?',6,2.5,316570,'?',Downtown,34.122168,'?'
231,11273,'?',2.5,642374,'?',Suburbs,'?','?'
232,'?',6,'?',179051,1974,Downtown,'?','?'
233,large,6,'?',799318,'?',Midtown,33.756571,'?'
234,11473,6,2.5,148611,1970,Outskirts,'?',-118.60505
235,large,'?',2.5,250409,19xx,Downtown,33.627678,-118.269375
236,large,1,1.6882111090376721,191893,'?',Downtown,'?','?'
237,8294,'?',2.5,778497,'?','?',33.585785,'?'
238,'?','?',1.0137125242331653,113895,1930,Suburbs,34.727664,'?'
239,large,'?',3.8553389772240387,572301,'?',Midtown,'?',-118.184642
240,'?',1,2.8718790239117147,703845,'?','?',34.219764,-117.531554
241,'?','?',1.9650970995708517,274776,1931,Midtown,34.336316,'?'
242,8933,Three,1.4808990423274855,205002,2018,Suburbs,'?',-118.90595
243,4306,Three,3.368513516585384,313962,'?','?','?','?'
244,4497,Three,2.388930763001084,145109,'?',Midtown,'?','?'
245,'?',Three,'?',247437,1999,'?','?',-118.133573
246,'?','?',1.1229365873897805,631204,'?',Outskirts,34.54506,'?'
247,6627,'?',2.5,205703,1988,Suburbs,34.188503,'?'
248,8086,Three,2.3270257441290703,346463,19xx,Midtown,34.056836,-118.000801
249,6884,Three,'?',113241,'?',Downtown,'?',-117.956762
250,'?','?','?',329131,19xx,'?',33.74402,'?'
251,'?',Three,'?',565247,19xx,Uptown,'?',-117.659395
252,'?',Three,2.5,182140,19xx,'?','?','?'
253,6340,'?',2.5,774129,2011,Uptown,34.44243,-118.288582
254,'?',6,1.3664841505263912,467412,19xx,'?',34.017851,'?'
255,large,'?',2.0483922596283706,280862,'?',Midtown,34.069361,'?'
256,'?','?','?',628404,'?',Midtown,'?',-118.585335
257,'?',2,'?',707921,'?',Uptown,34.135448,-117.637403
258,large,6,2.214806839947518,522884,19xx,Uptown,34.764798,-118.474063
259,large,'?',1.6899401789189006,304644,1978,'?',34.50331,'?'
260,large,'?',3.134479474061239,455613,1917,Downtown,34.478032,'?'
261,large,Three,1.8995938804361256,783097,19xx,Downtown,'?','?'
262,large,'?',2.5,766657,'?',Outskirts,34.056005,'?'
263,8667,'?','?',152060,'?',Downtown,34.158449,-118.1457
264,7921,'?',1.2053171026116063,514410,19xx,Uptown,33.837474,-118.330915
265,'?','?',3.099200965106143,738398,19xx,Suburbs,'?','?'
266,4585,Three,2.457323604178251,476832,'?',Downtown,34.731879,-117.76938
267,large,Three,1.615993764128395,128447,19xx,Outskirts,34.320827,'?'
268,'?','?','?',201750,19xx,Uptown,34.077165,'?'
269,9133,'?',2.5,278532,19xx,Outskirts,33.554436,'?'
270,7506,Three,'?',307256,19xx,'?','?',-117.718044
271,4090,4,2.5,776862,1927,Suburbs,34.500905,-117.971158
272,'?','?','?',653026,2008,Uptown,'?','?'
273,'?',3,2.5,298157,'?',Downtown,33.70862,-117.687245
274,7365,Three,2.9648777880676405,641548,'?',Outskirts,'?',-118.143641
275,'?',Three,2.5,444330,'?',Downtown,33.850757,'?'
276,6160,1,2.5,732732,2009,Uptown,'?','?'
277,'?',Three,'?',470457,'?',Suburbs,'?','?'
278,6820,Three,'?',677327,'?',Midtown,34.772633,-118.34008
279,5919,'?',2.5,213796,'?',Suburbs,'?',-117.966818
280,8971,Three,2.5821082637829953,796172,2013,Uptown,34.152825,'?'
281,'?',Three,2.5,732942,'?',Suburbs,33.799982,-118.797583
282,8541,5,2.5,586768,1906,Uptown,'?',-118.994052
283,4651,3,2.5,589969,19xx,Suburbs,34.084831,'?'
284,'?',Three,2.8918932489013356,577497,19xx,'?',34.67201,'?'
285,large,Three,2.5,316567,'?',Uptown,'?',-118.702445
286,large,'?',2.5,371477,'?',Midtown,'?',-118.557523
287,7683,Three,2.5,784988,1961,'?',33.96787,'?'
288,'?','?',3.5083137348145823,212276,'?',Uptown,34.387449,-117.835863
289,7890,'?','?',131257,1953,'?',34.331642,-118.809471
290,large,'?',2.5,345272,19xx,Suburbs,'?',-118.081602
291,7205,Three,2.8155480018507233,113273,1966,Suburbs,'?',-117.80318
292,large,Three,2.4555416357086353,725288,19xx,'?',34.218823,-118.150114
293,'?',1,2.5,711068,'?',Suburbs,34.150097,'?'
294,large,Three,'?',256301,1970,Uptown,'?',-117.659934
295,11271,'?',2.5,599212,'?','?','?',-118.74251
296,'?',6,2.5,340292,'?',Midtown,34.205582,'?'
297,8319,Three,'?',414877,19xx,'?',34.71459,'?'
298,large,'?',2.082693404041022,260056,19xx,'?',34.417304,'?'
299,7319,'?','?',666369,19xx,Suburbs,34.373241,-118.113992
300,'?','?',3.4000198896129143,139495,19xx,Downtown,'?','?'
301,7969,Three,2.5,326650,'?',Downtown,34.004151,'?'
302,'?',Three,'?',592877,19xx,Outskirts,34.318939,'?'
303,8434,Three,3.352505106589943,327252,1904,Outskirts,33.806736,-118.705125
304,10706,'?',2.5,665981,2019,Suburbs,'?',-117.66933
305,'?','?',2.5,585924,'?',Suburbs,'?',-117.804877
306,large,'?',3.014072416658908,588603,'?',Outskirts,'?','?'
307,large,1,'?',137735,'?',Suburbs,34.549785,-117.543835
308,5451,Three,2.5,315586,'?',Midtown,34.534114,-118.994744
309,10622,4,2.0882184356458717,271730,1978,Uptown,34.182113,-117.751161
310,'?',Three,'?',582135,19xx,Suburbs,33.600501,'?'
311,'?','?','?',551701,'?',Suburbs,'?',-118.738391
312,large,'?',2.5,522986,'?','?','?','?'
313,'?',3,'?',467355,19xx,Midtown,33.673419,-118.788585
314,'?',4,2.5,713981,19xx,Suburbs,'?','?'
315,10559,'?','?',105462,19xx,Uptown,'?',-118.475714
316,'?',Three,2.5,512193,'?','?','?',-118.416641
317,large,'?',3.8442969769784594,461955,1971,Midtown,'?','?'
318,11889,1,2.5,167043,'?','?','?','?'
319,6582,3,'?',361333,2010,Uptown,34.680533,'?'
320,9526,4,'?',202040,1951,Outskirts,'?','?'
321,5701,Three,'?',351508,19xx,Downtown,34.443827,-118.851802
322,'?',Three,1.2682241987668337,508850,'?',Midtown,'?',-118.461655
323,large,5,'?',581313,'?',Uptown,34.560934,-118.545258
324,'?','?',2.5,383735,2000,Suburbs,'?','?'
325,6401,'?',2.5,465674,19xx,Midtown,34.474763,-118.100728
326,large,'?',2.086509289433541,258660,1972,Uptown,34.192577,'?'
327,'?','?',1.8296325924578456,676676,19xx,Uptown,33.994582,'?'
328,'?','?',2.5,139180,1933,Uptown,'?',-118.12923
329,'?','?',2.5,304026,19xx,Outskirts,'?','?'
330,'?',Three,2.4764687880344325,219848,'?',Midtown,34.708596,'?'
331,'?','?','?',497624,1958,Uptown,34.778407,-118.134218
332,10925,Three,3.179335011675876,248994,1941,Midtown,33.823452,'?'
333,'?',2,2.5,211962,'?',Midtown,33.740658,-117.733597
334,'?',2,3.9352175989051874,119830,'?',Uptown,'?',-118.62168
335,large,4,2.5,345188,1908,Midtown,34.602492,'?'
336,large,Three,'?',402726,1967,Downtown,'?',-118.673815
337,'?',Three,2.5,254431,2003,Midtown,34.070486,-118.700452
338,'?','?',1.7976041479177893,718230,'?','?','?','?'
339,large,4,2.5,752971,19xx,'?','?',-117.837945
340,large,'?','?',246986,19xx,Midtown,34.130246,'?'
341,'?',4,'?',720395,19xx,Uptown,'?','?'
342,large,3,'?',437057,19xx,'?',34.549664,-118.447877
343,large,Three,2.5,678549,19xx,'?',34.125712,-118.891226
344,large,'?','?',718871,'?',Uptown,34.449692,'?'
345,large,'?',3.2421134935413045,103816,1919,Downtown,'?','?'
346,9293,4,2.5,204274,2004,Suburbs,33.813628,'?'
347,'?',6,1.4761478707081928,737959,'?',Downtown,'?',-117.61619
348,large,5,2.5,247552,'?',Downtown,'?','?'
349,large,Three,'?',620522,'?',Suburbs,33.801773,'?'
350,'?','?',3.9485854844992945,321571,'?',Uptown,'?','?'
351,'?',2,'?',266182,19xx,Downtown,'?','?'
352,large,6,2.589657142346888,288876,'?',Outskirts,34.546461,-117.78015
353,8719,2,2.5,797340,'?',Suburbs,'?','?'
354,'?','?',2.5,326074,19xx,Downtown,34.557118,'?'
355,10205,3,2.5,342319,1946,Uptown,'?','?'
356,9666,Three,2.5,294797,1902,Outskirts,'?',-118.3265
357,11034,5,3.345618178729452,650823,'?',Uptown,34.797845,-118.088135
358,large,'?','?',245419,19xx,Outskirts,'?',-118.854186
359,'?',Three,2.5,517013,'?',Uptown,34.41435,'?'
360,large,4,2.5,643911,19xx,'?',33.743762,'?'
361,5432,6,2.5,732802,19xx,Suburbs,34.707493,-117.875857
362,'?','?',2.5,477075,19xx,'?',33.533509,'?'
363,'?','?',2.5,486420,'?',Midtown,33.668916,'?'
364,4280,4,1.3101481237616122,648567,'?',Suburbs,33.896898,-117.503833
365,'?',2,3.299433128218145,576489,2015,Suburbs,'?',-117.98672
366,large,Three,2.5,744574,1913,Midtown,33.960749,'?'
367,7879,'?','?',722853,19xx,Outskirts,34.79669,'?'
368,'?',Three,2.5,646675,'?',Uptown,'?','?'
369,4782,1,3.785819697603001,719771,2018,Downtown,'?','?'
370,large,Three,'?',552830,'?',Suburbs,33.805592,'?'
371,large,'?',2.5,771169,1974,'?',33.927641,-118.883109
372,large,'?',2.9846225238447515,649641,'?',Outskirts,'?','?'
373,11983,5,1.1434234797512282,478080,19xx,Outskirts,'?',-118.261024
374,large,Three,2.5,368232,19xx,Suburbs,34.207108,-118.193874
375,'?','?',3.7769478593091748,469014,1908,Midtown,33.779992,'?'
376,'?','?',2.5,565114,1916,Midtown,33.799046,'?'
377,'?','?',2.5,459486,2015,Downtown,34.592422,'?'
378,large,'?',3.046924342417426,286336,19xx,Outskirts,34.064591,'?'
379,'?',Three,2.4011053940364926,470520,19xx,Suburbs,33.5727,'?'
380,'?',Three,'?',237649,19xx,'?',33.546733,'?'
381,'?',4,3.8102841716618845,708950,1945,'?',33.532498,'?'
382,6775,Three,2.5,234017,19xx,Suburbs,'?',-118.026182
383,'?','?',3.7698492133949206,787677,1979,Downtown,'?','?'
384,'?',Three,2.5,247158,19xx,Suburbs,34.344826,-118.881764
385,'?',Three,'?',729005,19xx,Midtown,34.791378,'?'
386,'?','?',3.1241849441127822,414113,1939,Downtown,'?',-118.176997
387,large,'?',3.47657917495486,375929,1999,Uptown,'?',-117.961779
388,large,Three,'?',267838,19xx,Suburbs,33.884576,'?'
389,6578,Three,1.9813431995758544,565671,19xx,'?','?',-117.911381
390,'?',4,2.5,333501,1964,Midtown,33.703188,'?'
391,large,'?',1.8827796892296127,391031,1967,Midtown,33.590727,'?'
392,7579,5,1.9048995353013554,156376,19xx,Suburbs,34.465491,'?'
393,large,5,2.5,753678,'?','?',34.129745,'?'
394,'?','?',1.4170957385300889,110849,1984,Midtown,'?',-118.410165
395,7386,1,2.505799623067551,723700,19xx,'?','?',-118.472351
396,large,'?',1.5124281359842766,597907,2015,Outskirts,34.406138,-118.572757
397,large,Three,2.5,744421,19xx,'?','?',-117.712145
398,5106,2,'?',152112,2002,Downtown,34.509182,-118.54574
399,10709,6,'?',154970,'?',Outskirts,33.928983,'?'
400,'?',Three,3.0462310950311142,448106,19xx,Downtown,'?',-117.821091
401,7903,'?',1.450933144260008,255034,19xx,Suburbs,34.745417,'?'
402,'?',4,'?',173699,19xx,'?','?',-117.849056
403,'?',2,3.9078107412604535,249348,1991,Downtown,34.494857,-118.465017
404,large,Three,'?',465609,'?',Suburbs,'?',-117.736965
405,6100,3,'?',711080,1972,Downtown,'?',-117.777375
406,'?',Three,2.4023031919234032,227745,'?',Downtown,'?','?'
407,4356,1,2.5,130693,'?',Downtown,33.504709,'?'
408,'?','?','?',767844,19xx,Uptown,33.554923,'?'
409,'?',Three,2.8214401810214365,546237,'?',Midtown,'?',-118.204487
410,'?','?',2.9152938929161585,561322,19xx,Uptown,'?','?'
411,'?',3,1.8076290122148915,540883,2019,Suburbs,34.270191,-118.184218
412,large,'?',2.003407095787554,484692,19xx,'?','?',-118.355555
413,9754,2,2.328827317505776,789039,2014,Suburbs,'?',-118.466672
414,9414,'?',3.4083788503822348,350819,'?',Suburbs,33.996393,'?'
415,large,'?',2.5,220538,'?',Suburbs,'?','?'
416,'?',4,1.8891651462150882,585618,1900,Uptown,'?',-117.890403
417,11684,'?','?',570949,2014,'?',34.684403,'?'
418,'?',Three,2.5,193321,1972,Downtown,'?',-118.350239
419,large,Three,'?',211454,1972,Suburbs,34.456513,-118.094299
420,'?',Three,'?',666192,19xx,'?',34.404175,-118.251671
421,'?',Three,'?',179743,19xx,Outskirts,'?',-117.589001
422,'?',Three,'?',234579,19xx,Uptown,'?','?'
423,large,1,2.5,670981,19xx,Suburbs,34.704046,'?'
424,'?',5,2.5,344725,1968,Downtown,34.401531,-117.522463
425,large,Three,3.7644188157911262,474281,'?',Outskirts,'?','?'
426,large,'?','?',574954,19xx,Suburbs,34.271153,'?'
