CRIM,ZN,INDUS,CHAS,NOX,RM,AGE,DIS,RAD,TAX,PTRATIO,B,LSTAT,MEDV
,90.0,1.22,RIVER,,7.249,21.9,8.6966,,,17.9,395.93,4.81,35.4
0.02055,85.0,0.74,OTHER,0.41,6.383,35.7,9.1876,2.0,313,17.3,,5.77,24.7
0.01432,100.0,1.32,OTHER,,6.816,,8.3248,,256,,392.9,,31.6
0.15445,25.0,5.13,OTHER,0.453,,29.2,7.8148,,284,19.7,390.68,6.86,23.3
0.10328,25.0,5.13,OTHER,0.453,5.927,47.2,6.932,,,19.7,396.9,9.22,19.6
0.14932,25.0,5.13,OTHER,,5.741,,,,284,19.7,395.11,,18.7
0.17171,25.0,5.13,OTHER,,,93.4,,,284,19.7,,,16.0
0.11027,25.0,5.13,OTHER,,6.456,67.8,,,,19.7,,6.73,22.2
,25.0,5.13,OTHER,0.453,6.762,,7.9809,8.0,284,,395.58,9.5,25.0
0.01951,17.5,1.38,OTHER,0.4161,7.104,,9.2229,3.0,,,393.24,8.05,33.0
0.03584,80.0,3.37,OTHER,0.398,6.29,,,4.0,337,16.1,396.9,,23.5
0.04379,80.0,3.37,OTHER,0.398,,31.1,6.6115,4.0,337,16.1,396.9,,19.4
0.05789,12.5,6.07,RIVER,0.409,5.878,21.4,,,345,18.9,396.21,8.1,22.0
,12.5,6.07,OTHER,0.409,5.594,,,4.0,,18.9,396.9,,17.4
0.12816,12.5,6.07,OTHER,0.409,5.885,,6.498,4.0,,,396.9,8.79,20.9
,,10.81,RIVER,0.413,6.417,,,,305,19.2,383.73,6.72,24.2
0.15876,0.0,10.81,OTHER,0.413,5.961,17.5,5.2873,4.0,,19.2,376.94,9.88,21.7
0.09164,0.0,10.81,OTHER,0.413,6.065,,5.2873,4.0,305,,,,22.8
,0.0,10.81,RIVER,,6.245,,5.2873,,305,,377.17,7.54,23.4
0.07896,0.0,12.83,OTHER,0.437,6.273,6.0,4.2515,,398,18.7,394.92,,24.1
0.09512,0.0,12.83,OTHER,0.437,6.286,45.0,,5.0,398,,383.23,,21.4
0.10153,,12.83,OTHER,0.437,,74.5,4.0522,,398,18.7,,11.97,20.0
,0.0,12.83,OTHER,0.437,6.14,,,5.0,398,,386.96,10.27,20.8
,0.0,12.83,OTHER,,6.232,,5.0141,5.0,398,18.7,386.4,12.34,21.2
0.08387,0.0,12.83,OTHER,0.437,,,4.5026,5.0,,,396.06,,20.3
0.04113,25.0,4.86,OTHER,0.426,6.727,33.5,5.4007,4.0,281,19.0,,,28.0
0.04462,25.0,4.86,OTHER,,6.619,70.4,,4.0,281,19.0,395.63,7.22,23.9
0.03659,25.0,4.86,OTHER,,,,,,,,396.9,,24.8
0.03551,25.0,4.86,OTHER,0.426,,46.7,5.4007,4.0,281,19.0,390.64,7.51,22.9
,0.0,4.49,OTHER,,6.389,48.0,,,247,,,9.62,23.9
0.05735,0.0,4.49,OTHER,0.449,6.63,,,3.0,247,,,6.53,26.6
0.05188,0.0,4.49,OTHER,,6.015,45.1,4.4272,,247,18.5,,12.86,22.5
0.07151,0.0,4.49,RIVER,0.449,6.121,56.8,,,247,18.5,,8.44,22.2
0.0566,0.0,3.41,OTHER,0.489,,,3.4217,2.0,,,396.9,5.5,23.6
0.05302,0.0,3.41,OTHER,0.489,7.079,63.1,3.4145,2.0,,,396.06,5.7,28.7
0.04684,0.0,3.41,OTHER,0.489,,,3.0923,2.0,270,,,,22.6
0.03932,0.0,3.41,RIVER,,,,,,270,,393.55,,22.0
0.04203,28.0,15.04,OTHER,0.464,6.442,53.6,,4.0,270,18.2,,,22.9
,28.0,15.04,OTHER,0.464,6.211,,-3.6659,,270,18.2,396.33,6.21,25.0
0.04294,28.0,15.04,OTHER,0.464,6.249,77.3,,4.0,270,,396.9,10.59,20.6
0.12204,0.0,2.89,OTHER,,,,,2.0,276,18.0,357.98,,28.4
0.11504,,2.89,OTHER,0.445,6.163,69.6,,2.0,276,18.0,,,21.4
0.12083,0.0,2.89,RIVER,0.445,,76.0,3.4952,,,18.0,396.9,4.21,38.7
0.08187,0.0,2.89,OTHER,0.445,,36.9,3.4952,2.0,,,393.53,3.57,43.8
0.0686,0.0,2.89,OTHER,0.445,7.416,62.5,3.4952,2.0,276,18.0,396.9,,33.2
0.14866,0.0,8.56,RIVER,0.52,6.727,79.9,2.7778,5.0,384,20.9,394.76,,27.5
0.11432,0.0,8.56,RIVER,0.52,,71.3,2.8561,,384,,395.58,7.67,26.5
0.22876,0.0,8.56,RIVER,0.52,6.405,,2.7147,5.0,,20.9,70.8,10.63,18.6
0.21161,0.0,8.56,OTHER,0.52,6.137,,,5.0,384,20.9,394.47,,19.3
0.1396,0.0,8.56,OTHER,0.52,6.167,90.0,2.421,5.0,,20.9,392.69,,20.1
0.13262,0.0,8.56,OTHER,0.52,5.851,96.7,,5.0,,20.9,394.05,16.47,19.5
0.1712,0.0,8.56,OTHER,0.52,5.836,91.9,,5.0,384,20.9,395.67,,19.5
0.13117,0.0,8.56,OTHER,0.52,,85.2,2.1224,5.0,,20.9,,14.09,20.4
0.12802,0.0,8.56,RIVER,,6.474,,2.4329,5.0,384,20.9,395.24,12.27,19.8
0.26363,0.0,8.56,OTHER,0.52,6.229,,,5.0,384,20.9,391.23,,19.4
0.10793,0.0,8.56,OTHER,0.52,,,2.7778,,,20.9,,,21.7
0.10084,0.0,10.01,OTHER,,6.715,,2.6775,,432,,395.59,10.16,22.8
0.12329,0.0,10.01,RIVER,0.547,,,,,432,17.8,394.95,16.21,18.8
0.22212,0.0,10.01,OTHER,0.547,6.092,95.4,2.548,6.0,432,17.8,396.9,17.09,18.7
0.14231,0.0,10.01,OTHER,0.547,6.254,,,6.0,432,17.8,,10.45,18.5
0.17134,,10.01,OTHER,0.547,,,2.4631,6.0,432,17.8,344.91,15.76,18.3
0.13158,0.0,10.01,OTHER,,6.176,72.5,2.7301,,432,17.8,,12.04,21.2
,0.0,10.01,OTHER,,6.021,82.6,2.7474,6.0,432,,394.51,10.3,19.2
0.13058,0.0,10.01,OTHER,0.547,5.872,,2.4775,,432,17.8,338.63,15.37,20.4
0.14476,0.0,10.01,OTHER,,5.731,65.2,2.7592,6.0,,,,13.61,19.3
0.06899,0.0,25.65,OTHER,0.581,5.87,,,2.0,,,389.15,14.37,22.0
0.07165,0.0,25.65,RIVER,,6.004,,,,188,,,14.27,20.3
0.09299,0.0,25.65,OTHER,0.581,5.961,,2.0869,,,,,17.93,20.5
0.15038,,25.65,OTHER,,5.856,,,,,,370.31,25.41,17.3
,0.0,25.65,OTHER,0.581,,95.8,2.0063,,188,,379.38,17.58,18.8
0.16902,0.0,25.65,OTHER,0.581,5.986,88.4,1.9929,2.0,188,19.1,385.02,,21.4
0.38735,,25.65,OTHER,0.581,,,,,188,19.1,,,15.7
0.25915,0.0,21.89,OTHER,,5.693,96.0,1.7883,4.0,,21.2,392.11,17.19,16.2
0.32543,0.0,21.89,OTHER,0.624,6.431,,,,437,,,,18.0
0.88125,0.0,21.89,OTHER,0.624,5.637,,1.9799,4.0,437,21.2,396.9,,14.3
0.34006,,21.89,OTHER,,,98.9,2.1185,,,21.2,,,19.2
1.19294,0.0,21.89,OTHER,0.624,6.326,97.7,2.271,4.0,437,21.2,396.9,12.26,19.6
,0.0,21.89,OTHER,,6.372,97.9,,4.0,437,,385.76,,23.0
0.32982,0.0,21.89,RIVER,0.624,,95.4,,4.0,437,21.2,,15.03,18.4
0.97617,0.0,21.89,RIVER,,,,,,437,,262.76,,15.6
0.55778,0.0,21.89,RIVER,,6.335,,2.1107,4.0,,,,,18.1
0.32264,,21.89,RIVER,,,93.5,,4.0,437,,378.25,16.9,17.4
0.35233,0.0,21.89,OTHER,,6.454,98.4,1.8498,4.0,437,,,14.59,17.1
0.2498,,21.89,OTHER,0.624,5.857,,1.6686,4.0,437,21.2,,,13.3
0.54452,0.0,21.89,OTHER,,6.151,,1.6687,4.0,437,21.2,396.9,18.46,17.8
0.2909,0.0,21.89,RIVER,0.624,6.174,93.6,1.6119,,437,,388.08,,14.0
1.62864,0.0,21.89,RIVER,0.624,,100.0,1.4394,,,21.2,396.9,34.41,14.4
3.32105,0.0,19.58,OTHER,0.871,,100.0,1.3216,,,,,,13.4
4.0974,0.0,19.58,OTHER,0.871,,100.0,1.4118,,,14.7,396.9,26.42,15.6
2.77974,0.0,19.58,RIVER,0.871,4.903,97.8,1.3459,,403,14.7,,29.29,11.8
2.37934,0.0,19.58,RIVER,0.871,6.13,,1.4191,5.0,403,,,27.8,13.8
2.15505,0.0,19.58,RIVER,,,,1.5166,5.0,,14.7,169.27,16.65,15.6
2.36862,0.0,19.58,OTHER,0.871,4.926,95.7,,5.0,,,391.71,29.53,14.6
,0.0,19.58,OTHER,0.871,5.186,,1.5296,5.0,403,14.7,356.99,28.32,17.8
2.73397,,19.58,OTHER,,5.597,,,,403,14.7,351.85,21.45,15.4
1.6566,0.0,19.58,OTHER,0.871,,97.3,,5.0,,,372.8,,21.5
1.49632,0.0,19.58,OTHER,,5.404,100.0,1.5916,,403,14.7,,13.28,19.6
1.12658,0.0,19.58,OTHER,0.871,,,,5.0,,14.7,,,15.3
,0.0,19.58,OTHER,0.871,5.709,,1.6232,5.0,,14.7,,15.79,19.4
,0.0,19.58,RIVER,0.871,,,1.7494,,403,14.7,,15.12,17.0
,0.0,19.58,OTHER,0.871,,82.6,,5.0,403,,,15.02,15.6
2.44668,0.0,19.58,RIVER,0.871,,94.0,1.7364,5.0,,,,,13.1
1.22358,,19.58,OTHER,0.605,,97.4,,5.0,,14.7,363.43,4.59,41.3
1.34284,0.0,19.58,RIVER,0.605,6.066,,1.7573,5.0,403,14.7,353.89,,24.3
1.42502,0.0,19.58,RIVER,,6.51,,1.7659,5.0,403,,364.31,7.39,23.3
1.27346,0.0,19.58,OTHER,0.605,6.25,92.6,1.7984,5.0,,14.7,338.92,5.5,27.0
1.46336,0.0,19.58,OTHER,0.605,7.489,90.8,,5.0,,14.7,,1.73,50.0
1.83377,0.0,19.58,RIVER,0.605,,,2.0407,5.0,403,,389.61,1.92,50.0
1.51902,0.0,19.58,OTHER,0.605,8.375,93.9,2.162,5.0,403,14.7,388.45,3.32,50.0
2.24236,0.0,19.58,RIVER,0.605,,91.8,,,403,14.7,395.11,,22.7
2.924,0.0,19.58,OTHER,0.605,,93.0,2.2834,5.0,403,,240.16,9.81,25.0
2.01019,0.0,19.58,OTHER,0.605,,,,,403,14.7,369.3,3.7,50.0
,0.0,19.58,OTHER,,5.877,79.2,,5.0,403,14.7,227.61,12.14,23.8
2.3004,0.0,19.58,OTHER,0.605,6.319,,2.1,,,,,,23.8
2.44953,0.0,19.58,OTHER,0.605,,,2.2625,5.0,403,14.7,,11.32,22.3
1.20742,0.0,19.58,OTHER,,5.875,94.6,2.4259,5.0,403,14.7,292.29,14.43,17.4
2.3139,0.0,19.58,OTHER,0.605,,97.3,2.3887,5.0,403,14.7,348.13,12.03,19.1
,0.0,4.05,OTHER,0.51,,88.5,2.5961,5.0,,16.6,,14.69,23.1
,0.0,4.05,OTHER,0.51,6.416,84.1,,5.0,,,,,23.6
0.08447,,4.05,OTHER,0.51,5.859,68.7,2.7019,5.0,296,,393.23,9.64,22.6
0.06664,,4.05,RIVER,0.51,6.546,,,,296,16.6,390.96,5.33,29.4
,0.0,4.05,OTHER,0.51,,47.2,3.5549,5.0,,16.6,393.23,10.11,23.2
0.05425,0.0,4.05,RIVER,0.51,6.315,,3.3175,5.0,296,16.6,395.6,6.29,24.6
0.06642,0.0,4.05,OTHER,0.51,6.86,74.4,2.9153,5.0,,16.6,391.27,6.92,29.9
0.0578,,2.46,OTHER,,,58.4,2.829,,193,,396.9,5.04,37.2
0.06588,0.0,2.46,OTHER,,7.765,83.3,2.741,,193,,,7.56,39.8
,0.0,2.46,OTHER,0.488,,,2.5979,3.0,193,17.8,,,36.2
0.09103,0.0,2.46,OTHER,0.488,7.155,92.2,2.7006,3.0,,,394.12,,37.9
0.10008,0.0,2.46,RIVER,0.488,,,2.847,,,17.8,,5.68,32.5
0.08308,,2.46,OTHER,,,89.8,2.9879,,193,17.8,,13.98,26.4
0.06047,0.0,2.46,OTHER,,,,3.2797,,,17.8,387.11,13.15,29.6
0.05602,0.0,2.46,RIVER,0.488,7.831,53.6,,,193,,392.63,4.45,50.0
0.07875,45.0,3.44,OTHER,0.437,6.782,41.1,3.7886,5.0,398,15.2,,6.68,32.0
0.12579,,3.44,OTHER,,6.556,,4.5667,5.0,,15.2,,4.56,29.8
0.0837,45.0,3.44,OTHER,,7.185,38.9,4.5667,,398,,396.9,5.39,34.9
0.09068,45.0,3.44,OTHER,0.437,6.951,21.5,6.4798,5.0,398,15.2,377.68,,37.0
0.06911,45.0,3.44,RIVER,0.437,6.739,30.8,6.4798,5.0,,15.2,,4.69,30.5
0.08664,45.0,3.44,OTHER,0.437,7.178,26.3,6.4798,,398,,390.49,2.87,36.4
0.02187,60.0,2.93,OTHER,0.401,6.8,9.9,,,,,393.37,,31.1
0.01439,60.0,2.93,OTHER,0.401,,18.8,,1.0,265,,,4.38,29.1
0.01381,80.0,0.46,OTHER,0.422,7.875,32.0,5.6484,4.0,,14.4,,2.97,50.0
0.04011,80.0,1.52,OTHER,,7.287,34.1,7.309,,,,396.9,,33.3
0.04666,80.0,1.52,OTHER,,,,7.309,,,12.6,,,30.3
0.03768,80.0,1.52,RIVER,0.404,7.274,38.3,7.309,,329,,,,34.6
0.0315,95.0,1.47,OTHER,0.403,6.975,15.3,,,402,17.0,396.9,,34.9
0.01778,95.0,1.47,OTHER,0.403,,13.9,,,402,17.0,384.3,4.45,32.9
0.03445,82.5,2.03,OTHER,0.415,6.162,,,2.0,,14.7,393.77,7.43,24.1
0.02177,82.5,2.03,OTHER,0.415,7.61,,6.27,2.0,348,14.7,395.38,3.11,42.3
0.0351,,2.68,OTHER,,7.853,,5.118,4.0,224,,392.78,,48.5
0.02009,95.0,2.68,RIVER,0.4161,,31.9,,4.0,224,14.7,390.55,2.88,50.0
0.13642,0.0,10.59,OTHER,0.489,,22.3,,,277,,396.9,10.87,22.6
0.22969,0.0,10.59,OTHER,0.489,6.326,52.5,4.3549,4.0,277,,394.87,10.97,24.4
0.25199,,10.59,OTHER,0.489,5.783,72.7,4.3549,,,,389.43,,22.5
0.13587,,10.59,RIVER,0.489,6.064,,4.2392,4.0,277,18.6,381.32,,24.4
0.43571,0.0,10.59,OTHER,0.489,,100.0,3.875,4.0,,18.6,396.9,23.09,20.0
0.17446,0.0,10.59,OTHER,0.489,5.96,,3.8771,,277,,393.25,,21.7
0.37578,0.0,10.59,OTHER,0.489,,88.6,,4.0,,,395.24,,19.3
0.21719,0.0,10.59,RIVER,,5.807,53.8,3.6526,,277,18.6,390.94,16.03,22.4
0.14052,0.0,10.59,OTHER,,6.375,32.3,3.9454,4.0,277,18.6,385.81,9.38,28.1
0.28955,0.0,10.59,RIVER,0.489,5.412,9.8,3.5875,4.0,277,18.6,348.93,,23.7
0.19802,0.0,10.59,OTHER,0.489,6.182,,3.9454,4.0,277,,393.63,9.47,25.0
0.0456,0.0,13.89,OTHER,0.55,5.888,,3.1121,,,,,13.51,23.3
0.07013,,13.89,OTHER,0.55,6.642,85.1,3.4211,5.0,,16.4,,9.69,28.7
0.11069,,13.89,OTHER,0.55,,93.8,,,276,16.4,,17.92,21.5
0.11425,0.0,13.89,OTHER,0.55,6.373,,3.3633,,,16.4,,10.5,23.0
0.35809,0.0,6.2,RIVER,,6.951,,2.8617,8.0,307,,391.7,,26.7
0.40771,0.0,6.2,OTHER,,6.164,91.3,3.048,8.0,,,395.24,21.46,21.7
0.62356,0.0,6.2,OTHER,0.507,,77.7,3.2721,,307,17.4,,9.93,27.5
0.6147,0.0,6.2,OTHER,0.507,,,3.2721,8.0,307,17.4,396.9,7.6,30.1
0.31533,,6.2,RIVER,0.504,8.266,78.3,2.8944,8.0,307,17.4,385.05,,44.8
0.52693,0.0,6.2,OTHER,0.504,8.725,83.0,,8.0,307,17.4,382.0,,50.0
0.38214,0.0,6.2,RIVER,0.504,8.04,86.5,,,307,17.4,387.38,3.13,37.6
,0.0,6.2,OTHER,,,79.9,,8.0,,,372.08,6.36,31.6
0.29819,0.0,6.2,OTHER,0.504,7.686,,,,,17.4,377.51,3.92,46.7
0.44178,0.0,6.2,OTHER,,,21.4,,8.0,307,17.4,380.34,3.76,31.5
0.537,0.0,6.2,OTHER,,,68.1,,8.0,307,17.4,378.35,11.65,24.3
0.46296,0.0,6.2,OTHER,0.504,7.412,76.9,3.6715,8.0,,,376.14,5.25,31.7
0.57529,0.0,6.2,OTHER,0.507,,,3.8384,8.0,307,,,,41.7
0.33147,0.0,6.2,OTHER,,8.247,70.4,,,307,17.4,378.95,3.95,48.3
0.44791,0.0,6.2,OTHER,0.507,,,3.6519,,,17.4,360.2,8.05,29.0
0.33045,0.0,6.2,OTHER,0.507,6.086,61.5,3.6519,8.0,307,17.4,376.75,10.88,24.0
0.52058,0.0,6.2,OTHER,0.507,,76.5,,,307,17.4,388.45,,25.1
0.51183,0.0,6.2,OTHER,,,71.6,4.148,8.0,307,17.4,,,31.5
0.08244,30.0,4.93,OTHER,0.428,,18.5,6.1899,6.0,300,16.6,379.41,,23.7
0.09252,30.0,4.93,RIVER,0.428,,,6.1899,,300,,383.78,7.37,23.3
0.11329,30.0,4.93,OTHER,0.428,6.897,54.3,6.3361,6.0,300,16.6,391.25,,22.0
0.10612,30.0,4.93,OTHER,,6.095,65.1,6.3361,6.0,300,16.6,394.62,,20.1
0.1029,,4.93,OTHER,0.428,6.358,,7.0355,,,,372.75,,22.2
0.12757,30.0,4.93,OTHER,0.428,6.393,7.8,,,300,16.6,374.71,5.19,23.7
0.20608,22.0,5.86,OTHER,0.431,5.593,,7.9549,7.0,330,,,,17.6
0.19133,22.0,5.86,OTHER,,5.605,70.2,7.9549,,330,19.1,389.13,18.46,18.5
0.33983,22.0,5.86,OTHER,0.431,6.108,34.9,,7.0,330,,,9.16,24.3
0.19657,22.0,5.86,OTHER,,6.226,,,7.0,330,,,,20.5
0.16439,22.0,5.86,OTHER,0.431,6.433,,7.8265,,330,19.1,374.71,9.52,24.5
0.19073,,5.86,RIVER,,,,,7.0,,,,6.56,26.2
0.1403,22.0,5.86,RIVER,0.431,,13.0,,7.0,330,,396.28,5.9,24.4
0.21409,22.0,5.86,OTHER,,6.438,8.9,,7.0,330,19.1,,,24.8
0.08221,22.0,5.86,OTHER,0.431,6.957,,,7.0,330,19.1,386.09,3.53,29.6
0.36894,22.0,5.86,OTHER,0.431,,,,,330,19.1,396.9,3.54,42.8
0.04819,80.0,3.64,OTHER,0.392,,32.0,,1.0,315,,,6.57,21.9
,80.0,3.64,OTHER,0.392,5.876,,,1.0,315,16.4,395.18,,20.9
0.01538,90.0,3.75,OTHER,,7.454,34.2,6.3361,,,15.9,,3.11,44.0
0.61154,,3.97,RIVER,0.647,8.704,86.9,,,264,13.0,,5.12,50.0
0.66351,20.0,3.97,OTHER,,7.333,,1.8946,,,,383.29,7.79,36.0
0.65665,,3.97,RIVER,0.647,6.842,100.0,,5.0,264,,,6.9,30.1
0.54011,20.0,3.97,RIVER,0.647,7.203,81.8,,5.0,,,,9.59,33.8
0.53412,20.0,3.97,OTHER,,7.52,89.4,,5.0,264,,388.37,,43.1
0.52014,,3.97,OTHER,,8.398,91.5,2.2885,5.0,,13.0,,,48.8
0.82526,20.0,3.97,RIVER,0.647,7.327,,2.0788,,264,,393.42,,31.0
0.55007,20.0,3.97,OTHER,0.647,7.206,91.6,1.9301,5.0,264,13.0,387.89,,36.5
,20.0,3.97,RIVER,0.647,5.56,,1.9865,,,13.0,392.4,10.45,22.8
0.7857,20.0,3.97,OTHER,,7.014,,2.1329,5.0,,13.0,384.07,14.79,30.7
0.57834,20.0,3.97,OTHER,0.575,8.297,67.0,2.4216,,,13.0,,7.44,50.0
0.5405,20.0,3.97,OTHER,,7.47,52.6,2.872,5.0,264,13.0,390.3,,43.5
0.09065,20.0,6.96,OTHER,,,61.5,,,223,18.6,391.34,,20.7
0.29916,20.0,6.96,OTHER,0.464,5.856,,4.429,,223,,388.65,,21.1
0.16211,20.0,6.96,OTHER,0.464,6.24,16.3,,,,,396.9,,25.2
0.1146,20.0,6.96,OTHER,0.464,6.538,58.7,3.9175,3.0,,18.6,394.96,,24.4
0.22188,20.0,6.96,OTHER,0.464,7.691,,,3.0,,,,6.58,35.2
,40.0,6.41,RIVER,,,32.9,,4.0,,,396.9,3.53,32.4
0.09604,40.0,6.41,OTHER,,6.854,42.8,,4.0,254,,396.9,,32.0
0.10469,40.0,6.41,OTHER,,,49.0,,4.0,254,17.6,389.25,,33.2
0.06127,40.0,6.41,OTHER,0.447,6.826,,4.8628,4.0,,17.6,393.45,,33.1
0.07978,40.0,6.41,RIVER,0.447,6.482,32.1,,,254,,396.9,7.19,29.1
0.21038,20.0,3.33,OTHER,0.4429,,32.2,4.1007,,216,,396.9,4.85,35.1
0.03578,20.0,3.33,OTHER,0.4429,,64.5,4.6947,5.0,216,14.9,387.31,,45.4
,20.0,3.33,OTHER,0.4429,6.968,,,5.0,,,392.23,4.59,35.4
0.06129,20.0,3.33,RIVER,0.4429,,49.7,,,,,377.07,3.01,46.0
0.01501,90.0,1.21,RIVER,0.401,,,,,198,13.6,395.52,3.16,50.0
,90.0,2.97,OTHER,0.4,7.088,,,1.0,285,15.3,394.72,,32.2
0.01096,55.0,2.25,RIVER,,,31.9,7.3073,,,15.3,394.72,8.23,22.0
0.01965,80.0,1.76,OTHER,,,,,1.0,241,18.2,,12.93,20.1
0.03871,,5.32,OTHER,,6.209,,,6.0,,16.6,,,23.2
0.0459,52.5,5.32,RIVER,0.405,6.315,,,6.0,293,16.6,396.9,,22.3
0.04297,52.5,5.32,OTHER,,6.565,,7.3172,,,16.6,371.72,9.51,24.8
0.03502,80.0,4.95,OTHER,,6.861,27.9,5.1167,,,,396.9,,28.5
0.07886,80.0,4.95,OTHER,0.411,7.148,27.7,5.1167,4.0,245,19.2,396.9,3.56,37.3
0.03615,80.0,4.95,OTHER,0.411,6.63,,5.1167,4.0,,19.2,,,27.9
0.08265,0.0,13.92,OTHER,,6.127,18.4,,4.0,,16.0,396.9,8.58,23.9
0.08199,0.0,13.92,OTHER,,6.009,42.3,5.5027,4.0,289,,,10.4,21.7
0.12932,,13.92,OTHER,0.437,6.678,31.1,,,,16.0,396.9,6.27,28.6
